nquest,comprens,ita,veroaf,veroab,verored,klima,facil,durata
807255,10,10,8,10,10,10,10,46
807289,9,9,9,9,9,9,9,111
807303,9,8,7,8,7,9,9,96
807404,9,9,9,9,9,9,9,45
807441,9,9,8,8,8,8,9,60
807466,7,7,6,4,8,6,6,66
807538,10,9,7,7,8,7,8,51
807625,10,10,10,10,9,8,7,85
807849,6,5,8,8,7,8,7,61
807962,8,10,7,10,10,10,7,35
808122,8,8,8,8,8,9,8,28
808169,8,7,7,7,7,7,7,54
808182,7,7,7,7,7,7,7,57
808310,7,6,8,7,7,7,7,35
808313,7,6,6,8,5,7,6,54
808314,7,6,6,7,6,8,7,47
808316,7,6,4,6,6,8,6,40
808318,7,7,7,7,7,7,7,65
808379,10,9,9,10,8,9,8,77
808450,9,9,9,9,9,9,9,91
808712,10,10,10,10,10,10,10,45
809233,6,6,6,7,7,7,6,60
809254,7,8,8,8,7,7,7,70
809268,8,8,8,8,7,8,7,42
809285,10,10,10,10,10,10,10,70
809382,7,7,7,7,7,7,7,28
809446,9,9,9,9,9,9,9,61
809488,3,5,7,9,7,10,4,73
809628,9,9,10,10,10,10,10,37
809644,9,9,10,10,9,10,10,43
809835,10,10,9,10,10,10,9,89
809897,5,6,6,6,6,6,6,36
809918,9,10,9,9,9,9,9,51
810042,8,8,8,8,8,8,8,87
810099,5,5,5,8,8,8,7,38
810104,8,8,8,8,8,8,8,40
810122,9,9,9,9,9,9,9,49
810150,8,8,7,7,8,8,8,54
810161,5,5,5,9,9,8,7,43
810180,6,6,5,6,7,9,8,37
810183,9,9,8,9,9,9,8,57
810778,8,9,8,8,9,8,8,52
810818,9,6,7,7,6,6,8,100
810835,9,9,9,9,9,9,9,29
810855,9,9,8,8,8,9,8,41
811035,8,9,9,9,9,9,9,53
811075,7,7,7,7,6,7,8,80
811158,10,10,10,10,10,10,10,79
811239,9,9,8,9,8,10,7,61
811294,6,7,7,7,7,7,6,67
811447,10,10,10,10,10,10,10,56
811506,9,9,9,9,9,9,9,39
811573,10,10,10,8,5,6,10,71
811784,8,7,7,7,7,9,7,32
811793,8,8,8,8,7,8,8,72
811794,8,8,7,8,7,9,8,40
811807,9,8,8,8,8,8,8,31
811952,7,7,6,7,6,6,7,81
811991,9,9,9,9,9,9,9,21
812006,9,8,8,8,8,8,8,25
812015,8,8,8,8,7,8,8,46
812035,9,9,9,9,9,9,9,31
812043,9,9,9,9,9,9,9,27
812121,8,9,8,8,8,8,9,59
812147,10,10,10,10,10,10,10,47
812450,10,10,10,10,10,10,10,42
812567,9,9,9,9,9,9,9,37
812628,9,9,9,9,9,9,9,42
812794,8,8,7,8,7,7,7,65
812849,7,9,6,7,7,7,6,64
812889,9,9,9,8,8,8,8,39
812896,6,6,6,6,6,5,5,20
813026,9,9,9,9,9,9,9,79
813109,10,10,10,10,8,10,10,33
813135,9,9,8,9,7,8,8,59
813141,7,6,7,7,8,7,6,34
813246,7,7,7,7,7,7,7,28
813283,8,8,6,9,8,8,8,42
813298,5,5,8,9,5,8,8,48
813323,7,7,6,9,9,9,8,37
813349,10,10,10,10,10,10,10,65
813355,10,10,10,10,10,10,10,62
813379,10,10,10,10,10,10,10,45
813493,9,8,8,8,8,8,8,27
813513,8,7,8,7,9,8,8,44
813686,10,10,5,10,10,10,10,70
813713,9,8,9,9,8,9,8,54
813729,8,9,8,8,7,8,7,89
813768,6,6,6,6,6,6,6,40
813818,5,5,6,6,6,5,5,32
813829,7,7,8,6,7,7,7,66
813888,7,7,7,8,7,8,7,58
813893,8,8,8,9,8,8,8,47
813912,9,9,9,9,9,9,9,30
813932,8,9,9,9,9,9,9,28
813952,9,9,9,9,9,9,9,26
814027,8,7,7,7,7,8,8,51
814098,10,10,8,8,7,10,10,51
814102,9,8,7,8,8,8,8,59
814103,9,8,6,6,6,9,9,80
814136,10,10,10,10,10,10,10,43
814264,10,9,9,8,8,9,10,41
814448,10,10,10,10,10,10,10,61
814466,9,9,9,9,9,9,9,51
814468,8,8,8,8,7,9,7,98
814532,9,9,8,7,7,9,9,68
814546,10,10,10,10,10,10,10,39
814586,10,10,10,8,6,10,10,46
814735,10,10,10,10,10,10,10,69
814738,7,5,7,1,10,10,7,51
814868,9,9,9,9,9,9,9,71
814889,9,9,9,9,9,9,9,72
815015,9,9,9,9,9,9,9,43
815135,10,10,10,10,8,10,10,47
815136,10,10,5,6,5,10,10,65
815147,10,10,10,10,8,10,10,64
815192,10,10,10,10,10,10,10,48
815291,7,7,8,8,8,8,8,73
815403,10,9,9,9,9,8,9,54
815411,10,9,9,10,10,9,9,43
815415,9,9,9,9,8,8,8,31
815416,9,9,8,8,9,8,9,57
815465,9,10,10,10,10,10,10,89
815511,8,8,5,9,9,8,8,24
815523,9,9,9,9,9,9,9,33
815857,5,6,6,6,6,9,8,33
815896,10,10,9,10,10,10,9,44
815960,9,8,9,8,9,9,8,54
816001,8,7,7,7,3,4,4,64
816029,10,10,10,10,10,10,10,63
816082,6,7,6,8,9,9,6,32
816139,8,7,7,8,6,8,6,32
816196,10,9,8,8,6,10,9,31
816213,7,7,7,7,7,7,7,32
816249,7,8,7,8,6,10,7,43
816315,8,8,8,8,8,8,8,29
816383,6,6,6,6,6,6,6,26
816433,8,8,8,8,7,9,8,38
816585,9,6,8,9,6,8,6,57
816781,7,7,9,9,9,9,7,27
816816,8,7,7,8,8,9,9,20
816827,10,10,9,9,9,9,9,52
816839,8,8,7,7,7,9,9,28
816847,9,9,8,8,8,9,9,110
816897,6,6,6,6,6,6,6,66
816919,6,6,6,6,5,8,9,60
817160,10,10,10,10,10,10,10,37
817180,10,10,10,10,8,10,10,44
817204,10,10,10,10,10,10,10,45
817248,9,9,9,9,9,9,9,46
817276,9,9,9,9,9,9,9,52
817281,8,8,8,8,6,8,8,70
817303,7,7,7,6,7,7,7,38
817402,9,9,9,9,9,9,9,72
817480,8,8,8,9,8,8,8,34
817487,9,9,9,9,9,9,9,36
817534,8,8,7,7,8,8,8,46
817675,7,5,7,6,9,7,7,30
817706,10,1,1,1,1,1,1,36
817742,10,10,10,10,10,10,10,51
817747,8,8,8,9,9,10,8,31
817749,9,9,7,9,9,8,8,35
817763,9,9,9,9,9,10,9,35
817815,10,9,8,9,9,8,8,35
817842,9,9,9,9,9,8,8,26
817886,9,9,8,9,8,7,8,34
817905,10,9,9,9,9,9,8,44
817967,10,9,9,9,9,9,9,33
818057,9,9,9,9,8,8,8,36
818064,10,9,8,9,9,8,8,32
818113,9,8,8,8,9,8,8,37
818290,8,8,8,8,9,10,8,38
818345,10,10,10,10,10,10,10,75
818425,10,10,9,10,10,10,9,62
818426,10,10,10,10,10,10,10,38
818435,9,9,8,9,9,10,8,55
818640,10,10,10,10,10,10,10,52
818869,9,8,8,8,8,8,9,43
819010,10,10,8,8,8,10,10,60
819031,8,10,5,10,10,10,10,60
819125,7,7,6,6,4,6,6,56
819127,7,6,6,6,6,6,6,46
819156,5,5,5,7,7,7,6,31
819168,6,6,6,7,6,6,6,51
819330,10,10,10,10,10,10,10,37
819349,10,10,10,10,10,10,10,41
819350,10,10,10,10,10,10,10,59
819433,8,8,7,9,9,10,9,28
819453,9,9,8,8,8,10,10,84
819456,9,8,8,9,6,8,8,59
819465,10,10,10,10,10,10,10,70
819511,10,10,10,10,8,10,10,56
819517,10,10,10,10,10,10,10,90
819575,10,10,10,10,10,10,10,74
819626,10,10,10,10,10,10,10,40
819653,10,10,10,10,10,10,9,82
819664,10,10,10,10,10,10,10,65
819693,8,8,9,9,9,9,7,83
819727,8,8,8,8,8,9,9,60
819831,8,8,8,8,8,8,8,73
819849,7,7,7,8,8,8,8,43
819972,8,8,8,8,8,8,8,31
820063,8,8,5,7,7,7,7,45
820115,8,8,8,8,8,8,8,25
820171,8,8,8,7,8,7,7,112
820465,8,8,8,8,7,8,8,55
820474,5,5,6,6,6,7,7,23
820593,6,7,7,8,6,6,6,79
820606,8,8,7,8,9,8,8,54
820645,6,7,7,8,8,8,5,22
820675,9,9,9,9,9,9,9,39
820697,9,7,7,9,9,9,9,74
820707,9,8,8,9,8,9,8,29
820718,9,9,9,9,9,9,9,24
820837,9,9,9,9,9,9,9,41
820847,9,9,9,9,9,9,9,49
820966,9,9,9,9,9,9,9,49
821008,9,9,9,9,9,9,9,35
821020,9,9,9,9,9,9,9,24
821170,10,10,10,10,10,10,10,111
821206,10,10,10,10,10,10,10,24
821350,10,10,10,10,10,10,10,74
821387,10,10,10,10,10,10,10,99
821489,8,8,8,10,10,10,8,20
821675,10,10,10,10,10,10,10,77
821692,10,10,10,10,10,10,10,43
821713,7,7,6,7,6,7,6,51
821727,7,8,8,8,8,8,8,64
821770,6,5,6,7,7,7,6,30
821789,8,8,7,7,7,8,7,61
821841,8,8,7,8,8,9,9,68
821844,7,6,8,9,8,9,8,52
821852,8,7,8,8,7,9,7,59
821854,8,8,8,9,9,9,8,65
821998,6,7,4,7,7,9,6,33
822019,5,7,6,8,7,10,5,71
822033,6,7,6,8,7,10,6,79
822123,8,8,8,8,7,8,7,59
822151,7,7,8,8,8,9,7,28
822166,8,8,8,7,8,7,7,68
822191,10,8,8,10,8,8,6,51
822266,10,10,10,10,10,10,10,37
822398,9,9,7,7,6,8,7,49
822408,9,9,8,8,8,8,8,65
822419,9,9,8,8,7,9,7,42
822497,10,9,9,9,9,9,9,53
822530,10,9,9,8,8,9,8,58
822536,10,10,10,10,10,10,10,63
822589,9,9,9,9,9,9,9,30
822614,9,9,9,9,8,9,9,68
822678,9,9,9,9,9,9,9,76
822694,10,10,10,10,10,10,10,67
822776,9,9,9,9,9,9,9,42
822826,8,8,8,8,8,8,8,47
823046,9,9,9,9,7,9,9,66
823053,5,7,7,8,8,8,7,50
823250,10,9,9,9,9,9,9,68
823258,10,10,9,9,9,10,9,74
823327,7,7,6,8,7,10,6,56
823338,8,9,6,9,6,10,8,109
823488,10,10,6,7,6,10,10,50
823506,10,10,10,10,10,10,10,62
823524,10,10,10,10,10,10,10,58
823767,9,8,8,8,5,8,6,63
823957,10,10,10,10,10,10,8,65
823963,10,10,10,10,10,10,10,56
823993,9,10,10,10,10,9,9,46
824120,7,8,8,9,8,8,8,29
824236,10,10,9,10,8,10,9,34
824302,10,10,10,10,10,10,10,47
824338,9,9,9,9,9,9,9,51
824345,9,9,9,9,9,9,9,89
824574,6,6,6,6,6,6,6,41
824637,7,7,7,7,7,9,7,28
824663,8,8,8,8,8,8,8,57
824671,7,7,7,7,7,7,7,46
824695,8,8,7,8,8,9,8,29
824718,8,7,8,9,8,7,8,35
824724,7,7,8,8,8,8,7,83
824725,9,9,9,9,8,9,8,69
824730,8,9,9,9,9,9,8,54
824734,8,8,8,8,7,8,8,70
824735,9,9,9,9,9,9,9,79
824761,8,8,7,8,7,9,8,56
824808,10,10,10,10,10,9,10,59
824824,10,10,9,10,9,9,9,79
824887,9,9,9,9,9,9,9,35
824891,9,9,9,9,9,9,9,30
825078,9,9,9,9,9,9,9,69
825172,10,10,10,10,10,10,10,58
825184,10,10,10,10,10,10,10,29
825189,10,10,10,10,10,10,10,100
825849,3,9,9,9,9,9,9,38
825889,9,9,9,9,9,9,9,32
825977,8,9,8,8,7,8,8,84
826006,6,6,6,6,5,6,6,74
826115,9,8,8,8,9,9,9,50
826118,9,9,8,8,8,9,9,33
826132,8,7,7,9,8,9,9,20
826234,10,10,10,10,10,10,9,81
826242,7,7,8,9,8,7,7,67
826248,10,10,9,10,9,10,8,46
826266,8,9,8,8,9,8,8,44
826307,10,10,10,10,10,10,10,55
826347,10,10,10,10,10,10,10,35
826362,9,9,9,9,9,9,9,34
826427,8,5,5,5,5,5,5,29
826456,10,10,10,10,10,10,10,51
826565,9,9,9,9,9,9,9,31
826687,10,10,10,10,10,10,10,115
826744,9,9,9,9,9,9,9,57
826892,8,7,7,7,8,7,8,40
827006,8,8,8,8,8,8,8,39
827036,9,9,8,8,8,8,8,63
827046,8,9,8,9,9,9,9,51
827146,8,10,10,10,10,10,10,36
827188,10,10,10,10,10,10,10,55
827345,8,8,8,10,9,9,9,28
827369,9,9,9,9,9,9,9,38
827386,9,9,9,9,9,9,9,26
827398,9,9,9,9,9,9,9,22
827413,10,10,10,10,10,10,10,71
827447,5,5,6,6,6,9,7,29
827457,10,10,10,10,10,10,10,45
827486,8,8,8,8,8,8,8,33
827578,7,7,7,7,7,7,7,31
827615,6,6,6,6,6,6,6,27
827639,7,7,7,8,8,8,8,24
827647,9,9,9,9,9,9,9,27
827847,7,7,7,8,8,8,8,49
827870,9,8,8,9,8,8,8,38
827887,7,7,7,7,7,7,7,41
828121,6,7,7,8,8,7,6,52
828184,6,7,7,7,8,8,6,51
850013,10,10,10,10,10,10,10,63
850016,10,10,10,9,10,10,10,49
850024,8,9,7,8,9,9,9,52
850030,10,10,9,10,10,10,10,59
851025,10,10,7,10,2,10,6,146
851107,6,6,7,7,8,8,8,59
851114,9,9,9,9,7,9,9,36
851151,8,9,6,8,9,9,9,35
851172,9,9,9,9,9,9,9,75
851176,9,9,9,9,7,9,9,60
851322,10,9,8,8,6,7,8,64
851331,10,10,10,8,6,10,10,59
851333,10,10,7,8,3,10,10,65
851342,10,10,10,10,10,10,10,81
851393,7,7,8,9,8,8,7,96
851399,9,9,9,10,10,9,9,82
851448,6,6,6,6,6,6,6,38
851493,8,8,8,8,8,8,8,43
851504,7,6,7,7,8,8,8,30
851514,8,8,8,7,8,7,9,40
851544,8,7,8,9,7,8,7,43
851585,8,7,6,6,4,6,6,32
851627,9,8,8,8,8,8,8,62
851672,8,9,7,8,7,8,7,47
851693,6,7,7,7,7,7,6,47
851699,8,7,8,8,8,7,7,63
851703,8,7,7,8,8,8,7,56
851846,10,10,10,10,10,10,10,44
851865,10,10,10,10,10,10,10,32
851874,10,10,10,10,10,10,10,83
851903,7,7,7,7,7,7,7,31
851937,9,9,10,10,10,10,9,121
851968,7,6,7,10,6,7,7,54
851982,10,10,10,10,10,10,10,43
851989,10,10,10,10,10,10,10,49
852021,10,10,10,10,10,10,10,74
852030,8,8,8,9,6,8,8,44
852039,10,10,10,10,10,10,6,64
852058,10,10,10,10,10,10,10,48
852070,10,10,10,10,10,10,10,54
852073,10,10,10,10,10,10,10,39
852074,10,10,10,10,10,10,10,24
852115,9,9,9,9,9,9,9,33
852120,8,8,8,8,8,8,8,35
852130,8,8,8,8,8,8,8,36
852133,10,10,10,10,10,10,10,63
852134,10,10,10,10,10,10,10,51
852140,10,10,10,10,10,10,10,50
852156,10,10,10,10,10,10,10,42
852173,10,10,10,10,10,10,10,62
852204,9,9,8,8,7,8,8,43
852232,9,9,9,9,9,8,9,70
852283,10,8,5,5,5,8,8,47
852304,8,8,7,5,5,8,8,45
852321,7,7,7,7,7,7,7,33
852330,5,5,5,5,5,5,5,32
852332,5,7,7,8,7,8,6,39
852364,9,8,8,8,9,8,8,31
852377,10,8,7,8,7,8,8,40
852387,9,9,9,9,9,10,9,38
852399,10,8,9,9,7,8,8,32
852400,8,8,8,8,8,9,8,38
852465,8,9,9,8,9,10,10,76
852554,10,10,10,10,10,10,10,64
852573,3,4,4,4,5,5,4,94
852574,10,10,10,10,10,9,10,94
852595,4,4,4,8,6,8,9,56
852658,6,6,6,6,6,6,6,32
852673,8,10,10,10,8,8,8,47
852681,8,8,8,10,7,8,8,34
852754,9,10,10,9,10,10,10,72
852762,9,9,8,9,9,10,9,71
852933,7,7,7,6,7,8,6,75
852951,9,9,9,9,9,9,9,62
853021,7,7,6,6,5,8,6,55
853073,10,10,10,10,10,10,10,69
853126,8,7,7,9,9,7,6,40
853175,6,5,5,5,5,5,5,79
853210,7,7,5,7,4,7,7,63
853279,8,8,8,8,7,7,8,43
853296,8,8,8,8,8,8,8,53
853318,8,8,8,8,7,8,8,61
853351,9,9,8,9,9,9,9,75
853352,9,9,9,9,9,9,9,55
853354,9,9,7,9,8,7,6,80
853416,7,8,8,9,9,9,9,50
853565,5,5,4,4,5,5,5,44
853569,8,8,7,8,7,8,8,66
853617,8,8,8,8,6,8,8,72
853765,10,10,10,10,10,10,10,49
853801,10,10,8,8,8,10,10,37
853821,8,8,8,8,8,8,8,31
853849,9,9,9,9,9,9,9,42
853854,9,9,9,9,9,9,9,41
853875,6,7,6,5,5,8,7,32
853911,8,8,7,7,5,9,6,159
853930,9,8,9,9,9,10,9,49
854058,10,10,10,10,10,10,10,84
854070,10,10,10,10,10,10,10,56
854074,10,10,10,10,10,10,10,56
854078,10,10,10,10,10,10,10,49
854081,10,10,10,10,10,10,10,61
854093,10,10,10,10,10,10,10,66
854108,8,8,8,8,8,9,7,86
854112,9,9,9,9,8,8,6,54
854163,8,8,6,8,8,8,8,50
854188,8,8,6,8,8,7,7,43
854197,10,9,10,8,6,9,10,76
854202,10,10,10,10,10,10,10,57
854223,8,8,6,6,7,6,7,55
854306,10,10,10,10,10,10,10,69
854346,10,10,10,10,10,10,10,46
854352,6,4,6,6,6,6,6,29
854385,10,9,9,9,9,9,9,55
854393,10,10,10,10,10,10,10,31
854406,10,10,10,7,5,10,10,58
854414,9,8,8,9,8,9,8,49
854428,9,9,8,9,10,8,8,35
854435,9,9,9,10,9,9,9,100
854460,10,10,10,10,10,10,10,39
854501,10,10,10,10,10,10,10,76
854534,8,8,10,10,10,10,10,72
854535,10,10,10,10,9,10,10,71
854554,8,7,7,8,7,8,8,54
854559,9,9,9,9,9,8,8,59
854592,8,9,8,6,7,8,3,36
854593,10,10,10,10,10,10,10,42
854601,5,4,6,8,8,9,8,30
854611,5,10,10,10,10,10,10,42
854617,5,7,5,4,6,10,8,30
854621,10,10,10,10,10,10,10,56
854624,6,9,4,9,3,10,8,52
854626,9,9,9,9,9,9,9,62
854631,5,3,3,3,7,7,8,46
854714,10,10,10,10,10,10,10,46
854730,9,9,9,9,9,9,9,46
854762,9,9,9,9,9,9,9,22
854801,9,9,7,9,9,9,9,40
854858,8,8,8,8,8,8,8,81
854862,9,9,9,9,9,9,9,75
854958,9,9,8,9,9,9,9,54
854970,8,8,9,9,9,9,8,31
855004,9,9,9,9,9,9,9,44
855035,9,9,9,9,9,9,9,56
855088,8,7,8,5,8,8,8,66
855111,9,9,9,9,9,9,9,65
855135,8,8,8,8,8,8,8,50
855181,9,9,7,8,8,9,7,39
855221,9,9,9,9,9,9,9,27
855238,9,10,10,9,10,10,10,73
855259,9,10,9,9,9,9,8,78
855268,9,9,10,10,10,9,9,76
855295,9,9,9,9,9,9,9,27
855308,9,9,9,9,9,9,9,30
855344,10,10,10,10,10,10,10,90
855371,8,8,8,8,8,8,8,43
855376,8,8,8,8,8,8,8,65
855396,10,10,10,10,10,10,10,58
855402,9,9,9,9,9,9,9,42
855417,10,10,10,10,10,10,10,36
855468,10,10,10,10,9,10,10,49
855534,8,8,9,7,7,8,8,46
855636,8,8,8,5,8,8,7,52
855637,8,7,8,8,8,8,7,68
855638,9,9,9,9,9,9,9,54
855639,7,6,7,10,9,7,5,66
855681,8,8,8,7,8,8,8,60
855685,7,7,6,8,7,7,6,54
855752,10,9,9,9,9,10,10,82
855780,7,6,7,7,7,7,7,45
855790,10,10,5,10,10,10,10,24
855792,8,8,8,8,8,8,8,46
855809,8,8,10,10,10,10,8,21
855839,8,8,7,7,8,9,9,80
855846,9,8,8,8,7,8,8,90
855877,9,10,8,8,9,8,8,25
855991,10,10,10,10,10,9,9,68
856073,9,8,10,9,10,9,10,36
856128,10,10,10,9,10,9,5,61
856134,10,10,10,10,10,10,10,73
856150,10,10,10,10,10,10,10,79
856176,10,10,10,9,8,8,9,31
856177,7,7,4,7,5,3,7,30
856218,9,9,9,9,9,9,9,52
856236,9,9,9,9,9,9,9,70
856297,9,9,8,8,7,8,7,118
856322,7,7,7,9,7,7,7,55
856327,8,8,8,8,8,8,8,96
856328,9,9,9,9,9,9,9,38
856363,8,6,6,8,8,5,5,46
856365,10,10,10,10,10,9,9,53
856374,8,7,6,8,8,6,6,45
856430,10,10,10,10,9,10,10,55
856439,9,8,8,10,9,10,10,46
856472,6,6,6,6,6,6,6,56
856490,9,8,8,7,6,8,8,34
856532,4,6,5,4,6,6,6,32
856583,9,9,9,10,10,10,9,100
856600,10,10,10,10,10,10,10,87
856674,10,8,8,9,8,9,10,62
856688,10,10,10,10,10,10,9,82
856695,10,10,1,5,1,9,1,45
856708,9,8,9,8,9,9,9,64
856731,10,10,10,10,10,10,10,83
856759,9,9,9,9,9,8,8,40
856840,10,10,9,10,9,10,10,80
856963,8,6,7,9,9,9,10,68
857044,7,8,8,8,8,8,6,49
857048,8,7,7,8,7,6,8,56
857107,8,8,8,8,8,8,8,40
857111,8,8,8,8,8,8,8,29
857172,8,8,7,8,8,8,8,30
857273,8,8,8,8,8,8,8,73
857342,8,9,8,10,9,10,8,69
857353,9,8,9,9,8,9,9,105
857398,9,9,8,9,9,9,9,35
857466,8,9,6,6,8,9,9,63
857467,9,9,9,9,9,9,9,48
857468,8,8,8,9,9,9,8,26
857514,8,8,7,7,6,7,7,101
857519,8,7,5,5,6,6,5,82
857521,8,9,7,8,8,8,6,33
857549,6,7,6,8,6,6,7,51
857621,7,9,8,9,9,7,7,21
857624,10,10,10,10,10,10,10,64
857670,10,9,9,10,10,10,10,44
857679,9,9,8,9,8,8,8,59
857686,10,10,10,10,10,10,10,59
857713,8,8,8,8,8,9,8,38
857718,7,7,7,7,7,6,6,22
857741,9,9,9,9,9,9,9,26
857794,9,9,9,9,9,9,9,35
857840,9,9,7,6,9,9,9,35
857856,4,4,4,5,6,7,3,45
857857,7,7,7,8,8,8,7,92
857866,8,8,8,8,8,8,8,53
857914,9,9,9,9,9,9,9,41
858047,9,9,7,8,8,9,7,93
858080,10,10,9,10,10,10,10,49
858186,10,10,10,10,10,10,10,39
858214,6,7,8,9,8,7,7,42
858238,9,9,9,9,9,9,9,26
858282,6,7,6,7,5,6,4,67
858352,9,9,9,9,9,9,8,73
858353,10,10,9,9,10,10,10,49
858359,7,8,6,6,9,7,7,36
858445,8,8,5,6,5,6,6,64
858474,10,10,8,8,6,8,8,81
858481,8,8,8,8,9,10,9,34
858534,10,10,10,10,10,10,10,43
858585,9,8,8,8,8,8,8,41
858712,10,10,10,10,10,10,10,47
858735,7,9,8,10,5,5,6,41
858787,8,8,8,8,8,8,8,67
858811,9,9,9,9,9,9,9,56
859244,8,9,8,9,9,8,8,80
859261,10,10,8,10,10,10,10,59
859271,9,9,9,10,10,10,9,54
859293,10,10,9,9,8,10,10,67
859321,10,9,7,10,7,10,8,97
859360,9,9,9,9,9,9,9,25
859381,9,9,9,9,9,9,9,26
859449,10,10,10,10,10,10,10,70
859456,10,10,10,10,10,10,10,68
859459,10,10,10,10,10,10,10,68
859507,8,8,8,8,6,8,8,69
859573,10,10,8,10,10,8,7,103
859587,10,9,7,10,9,8,7,69
859588,8,10,7,10,9,9,9,57
859592,10,10,8,9,10,9,6,74
859597,8,10,8,10,8,8,9,57
859611,9,8,6,9,9,8,7,57
859616,10,10,10,10,9,10,9,37
859695,6,6,6,6,6,6,6,34
859696,6,6,6,6,6,5,5,33
859740,10,10,10,10,10,10,10,54
859754,9,9,9,9,9,10,9,85
859795,9,9,9,9,8,9,8,59
859908,9,9,9,9,9,9,9,21
859913,8,8,8,8,8,8,8,30
859920,9,9,9,9,9,9,9,22
859946,7,7,7,7,7,7,7,60
859993,10,10,8,8,6,8,8,37
860092,10,10,10,8,8,10,10,54
860095,10,10,10,10,10,10,10,42
860127,10,10,10,10,10,10,10,49
860133,10,10,10,8,8,8,8,38
860164,9,9,8,8,9,9,9,59
860167,9,9,8,8,7,9,9,120
860182,10,10,10,10,10,10,10,78
860230,7,7,7,8,8,8,7,61
860328,10,10,10,10,10,10,10,74
860353,10,10,5,10,5,8,8,59
860381,9,7,8,9,9,8,8,44
860503,9,9,9,9,9,9,9,80
860525,9,9,9,9,9,9,9,46
860573,9,9,9,9,9,9,9,48
860596,9,9,9,9,9,9,9,20
860684,8,8,8,8,8,8,8,46
860688,10,10,2,10,2,10,10,50
860704,9,9,9,9,8,9,9,48
860726,9,9,9,9,9,9,9,43
860757,9,9,10,10,10,10,10,78
860780,8,8,9,10,9,9,9,95
860783,8,8,9,10,10,9,8,61
860787,8,8,9,10,10,10,9,66
860799,10,10,8,10,8,10,10,39
860820,8,7,8,9,9,9,9,48
860826,7,7,8,8,7,8,8,27
860851,9,9,9,9,9,9,9,67
860884,7,6,6,6,4,6,6,41
860900,7,5,7,6,7,6,7,23
860929,9,8,9,9,9,10,9,42
860940,9,8,8,9,9,8,8,89
860963,6,6,6,8,6,8,6,21
860977,9,9,9,9,9,9,9,27
860985,9,9,9,5,5,9,9,48
861001,9,9,9,9,9,9,9,32
861018,10,10,10,10,10,10,10,52
861019,10,10,10,10,10,10,9,37
861061,9,9,9,9,9,9,9,55
861065,8,7,9,6,5,8,9,66
861177,7,7,5,10,9,10,7,72
861189,8,10,10,10,10,10,8,73
861232,8,8,8,8,6,7,6,45
861272,8,8,8,8,8,9,8,37
861345,10,10,10,10,10,10,10,37
861452,10,10,10,10,10,10,10,37
861471,10,10,10,10,10,10,10,72
861476,10,10,10,10,10,10,10,54
861499,7,7,7,9,9,9,7,29
861502,9,9,9,9,9,9,9,31
861508,9,9,9,9,9,9,9,28
861525,9,9,9,9,9,9,9,22
861526,9,9,9,9,9,9,9,28
861578,5,5,6,8,9,9,9,59
861581,8,8,6,6,6,5,7,85
861584,9,9,6,6,3,5,9,65
861731,10,10,10,10,7,10,10,33
861752,10,10,10,10,10,10,10,31
861850,10,9,8,10,8,8,8,40
861949,8,8,7,8,7,8,8,41
861954,8,8,8,8,8,8,8,87
861992,8,8,8,8,8,8,8,23
862003,8,8,6,8,8,8,8,46
862007,7,7,7,8,8,8,8,23
862012,8,8,5,8,8,8,8,45
862062,7,7,6,7,6,6,6,42
862075,5,5,5,5,5,5,4,31
862080,9,9,9,9,9,9,9,67
862146,10,10,10,10,10,10,10,59
862150,10,10,10,10,10,10,10,46
862168,10,10,10,10,5,10,10,44
862264,9,9,9,9,9,10,9,30
862279,10,8,7,9,9,8,8,35
862280,10,8,8,9,9,8,8,31
862295,8,8,8,8,8,9,8,41
862302,9,9,9,9,9,9,8,36
862303,9,9,8,9,9,9,8,30
862314,10,9,8,9,9,9,9,35
862358,8,8,8,8,8,9,8,35
862416,9,9,9,9,9,8,8,27
862424,10,9,7,8,9,8,9,35
862455,10,8,7,9,9,8,8,35
862462,10,8,9,9,9,8,8,31
862466,9,9,9,9,9,10,9,36
862503,10,10,10,10,10,10,10,53
862583,10,10,10,10,10,10,10,50
862590,9,9,9,9,9,9,9,28
862604,9,9,9,9,9,9,9,27
862739,4,5,5,8,8,5,5,39
862752,8,8,8,8,8,8,8,44
862789,7,8,8,8,5,7,6,61
862824,8,7,7,10,6,10,7,82
862826,6,5,6,6,6,6,6,71
862853,9,8,8,8,6,8,8,34
862874,10,10,10,8,7,9,8,75
862877,10,10,10,10,10,10,10,75
862904,10,10,9,7,7,7,8,52
862939,10,10,6,9,9,10,10,60
862976,8,9,9,9,9,9,9,132
862999,8,8,8,8,7,8,8,54
863078,9,9,7,7,9,9,9,50
863087,7,6,5,8,6,5,5,40
863099,10,10,10,10,8,10,10,30
863191,9,10,9,9,9,10,10,65
863223,10,9,9,8,7,10,9,64
863239,10,10,10,10,10,10,10,78
863291,10,10,10,10,10,10,10,69
863308,10,10,10,10,10,10,10,64
863328,10,10,10,10,10,10,10,61
863331,10,10,9,10,10,10,10,60
863333,9,8,8,9,9,9,7,94
863355,10,10,10,10,10,10,10,59
863384,8,8,7,8,8,9,9,30
863387,8,8,8,7,7,9,9,45
863397,9,8,8,8,7,9,9,56
863402,9,9,8,7,7,9,9,32
863430,8,8,8,8,8,8,8,49
863447,8,9,8,8,7,9,8,53
863451,7,7,6,6,7,7,7,40
