nquest,comprens,ita,veroaf,veroab,verored,klima,facil,durata
51544,9,8,8,7,7,9,9,82
51733,8,7,7,8,8,7,7,51
51895,9,9,9,9,9,9,9,25
52400,6,5,6,6,6,7,7,29
52478,10,10,10,10,10,10,10,77
52700,6,8,8,8,8,8,7,50
52718,9,9,9,9,9,9,9,31
52736,8,9,9,9,9,9,9,68
53008,10,10,8,10,9,10,10,76
53028,6,6,6,6,7,6,6,30
53086,9,8,8,10,10,9,9,41
53108,9,9,10,10,10,10,8,95
53109,7,8,9,10,10,9,8,52
53202,8,8,8,8,8,8,8,51
53234,9,9,9,9,9,9,9,59
53373,10,10,10,10,10,10,10,32
53380,8,8,7,7,7,8,7,30
53520,10,10,10,10,10,10,10,52
53549,10,10,10,10,10,10,10,49
53552,9,8,8,7,7,8,8,31
53564,10,10,10,10,10,10,10,52
53596,9,9,7,8,7,8,8,56
53666,5,7,6,7,4,6,5,42
53741,9,9,9,9,9,9,9,54
53871,7,6,8,8,9,8,7,38
53997,10,10,10,10,10,10,10,51
54143,7,9,7,9,9,9,9,68
54279,8,8,8,8,8,7,8,80
55094,9,9,9,9,9,9,9,46
55147,10,10,10,10,10,10,10,39
55209,6,6,6,7,8,8,6,65
55308,6,6,7,7,7,8,6,43
55425,10,10,10,10,10,10,10,44
55430,10,10,10,10,10,10,10,47
55636,10,10,10,10,10,10,10,86
55774,10,10,10,10,10,10,10,55
55799,10,10,10,10,10,10,10,50
56251,6,8,7,10,7,8,7,39
56465,8,8,8,8,8,8,8,43
56529,10,10,10,10,10,8,7,38
56563,9,10,8,9,10,10,9,46
56572,10,10,9,10,9,10,9,51
56582,10,10,10,10,10,10,10,60
56603,10,10,9,9,10,9,6,28
56624,10,10,10,10,10,10,10,62
56658,9,8,8,9,9,9,5,115
56677,9,10,9,9,10,9,9,46
56721,7,7,9,7,8,8,8,62
56761,10,10,10,10,10,10,10,72
56762,8,8,7,9,10,10,8,77
57027,6,6,6,6,6,7,7,85
57042,6,6,6,6,6,7,5,40
57043,6,6,6,6,6,6,6,87
57086,8,8,7,8,8,8,7,84
57138,9,9,9,9,9,9,7,54
57546,9,8,8,8,9,8,8,64
57547,9,9,9,8,7,8,8,30
57609,10,10,9,8,10,9,10,41
57621,9,9,9,9,9,9,5,29
57670,10,9,8,9,9,8,8,44
57779,8,8,8,8,8,10,8,35
57911,9,10,10,10,10,10,7,106
57962,9,8,8,8,8,8,8,88
58053,8,8,7,8,8,7,8,83
58366,9,9,9,9,9,9,9,90
60078,10,10,5,10,4,10,10,34
91067,8,8,6,7,7,8,8,37
91071,8,9,9,9,9,9,8,72
91074,10,10,10,10,10,10,10,60
91079,9,9,9,9,9,9,5,25
91081,9,8,7,7,5,7,8,32
91095,10,10,10,10,10,10,10,42
104002,9,9,9,9,9,9,9,57
111052,8,8,7,9,9,8,8,73
138399,10,10,8,9,7,9,8,52
145007,9,9,9,8,9,9,9,78
176061,7,7,8,8,8,8,8,24
178001,10,10,10,10,10,10,10,22
193016,6,8,8,8,7,6,10,29
213440,9,9,9,9,9,10,10,106
224048,7,6,7,9,7,9,7,58
230029,7,8,8,8,8,8,8,53
230037,7,9,8,8,8,9,7,65
230039,7,8,7,6,7,8,7,69
230048,6,7,6,8,8,8,6,35
