nquest,anmutuo11,anmutuo12,anmutuo13,debgar11_1,debgar12_1,debgar13_1,debgar11_2,debgar12_2,debgar13_2,debgar11_3,debgar12_3,debgar13_3,debm11,debm12,debm13,debpers11,debpers12,debpers13,debrf11,debrf12,debrf13,ltv11,ltv12,ltv13,mutuodu11,mutuodu12,mutuodu13,mutuoin11,mutuoin12,mutuoin13,ratacon11,ratacon12,ratacon13,rifinanz11,rifinanz12,rifinanz13,rippag11,rippag12,rippag13,sospecome11,sospecome12,sospecome13,sospens11,sospens12,sospens13,stesmut11,stesmut12,stesmut13,taxfis11,taxfis12,taxfis13,taxvar11,taxvar12,taxvar13,tipotax11,tipotax12,tipotax13,tmutuoab11,tmutuoab12,tmutuoab13,whytipo11,whytipo12,whytipo13,tdebita11,tdebita12,tdebita13
620649,2013,,,0,,,0,,,1,,,2,,,1,,,2,,,100,,,10,,,14000,,,,,,2,,,,,,,,,2,,,,,,3.5,,,,,,1,,,2136,,,4,,,11000,,
620858,2003,,,1,,,0,,,0,,,1,,,,,,2,,,40,,,25,,,98000,,,,,,1,,,,,,,,,2,,,1,,,3.9,,,,,,1,,,6492,,,3,,,48000,,
627314,2011,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,14,,,150000,,,,,,2,,,,,,,,,2,,,,,,6,,,,,,1,,,14000,,,1,,,120000,,
630858,2012,,,1,,,0,,,0,,,1,,,,,,2,,,60,,,15,,,50000,,,,,,2,,,,,,,,,2,,,,,,3.15,,,,,,1,,,3600,,,4,,,46000,,
635112,2009,,,1,,,0,,,0,,,1,,,,,,1,,,33,,,20,,,100000,,,,,,2,,,,,,,,,2,,,,,,5.25,,,,,,1,,,8450,,,3,,,83000,,
635346,2012,,,1,,,0,,,0,,,2,,,,,,2,,,5,,,5,,,40000,,,,,,2,,,,,,,,,2,,,,,,3.7,,,,,,1,,,3700,,,4,,,16000,,
636289,2010,,,1,,,0,,,0,,,2,,,,,,1,,,25,,,15,,,130000,,,2,,,2,,,,,,,,,2,,,,,,,,,1.71,,,2,,,9870,,,4,,,96000,,
639502,2007,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,20,,,124000,,,,,,2,,,,,,,,,2,,,,,,4.4,,,,,,1,,,9333,,,3,,,80000,,
640864,2001,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,20,,,50000,,,,,,2,,,2,,,2,,,1,,,,,,5,,,,,,1,,,1000,,,4,,,6463.2127594,,
641305,2000,2009,,1,0,,0,0,,0,1,,1,2,,,1,,2,2,,80,50,,20,7,,64000,13000,,,,,2,2,,,,,,,,2,2,,,,,7,5.76,,,,,1,1,,5500,2424,,3,4,,30000,6508.259865,
670711,2008,,,1,,,0,,,0,,,1,,,,,,2,,,30,,,30,,,50000,,,1,,,2,,,,,,,,,2,,,,,,,,,3,,,2,,,2400,,,1,,,27000,,
671206,1999,,,1,,,0,,,0,,,1,,,,,,2,,,45,,,20,,,45000,,,2,,,2,,,,,,,,,2,,,,,,,,,0.1,,,2,,,2200,,,1,,,10000,,
671362,2008,,,1,,,0,,,0,,,3,,,,,,2,,,10,,,10,,,30000,,,,,,2,,,,,,,,,2,,,,,,3.9,,,,,,1,,,3600,,,1,,,16071.682728,,
672417,2001,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,20,,,60000,,,2,,,2,,,,,,,,,2,,,,,,,,,4,,,2,,,6000,,,1,,,25000,,
673145,2004,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,20,,,80000,,,2,,,2,,,,,,,,,2,,,,,,,,,3.5,,,2,,,5400,,,4,,,40000,,
674239,2009,,,1,,,0,,,0,,,1,,,,,,1,,,80,,,20,,,135000,,,,,,2,,,,,,,,,2,,,,,,4.49,,,,,,1,,,10300,,,1,,,110000,,
674842,2003,,,1,,,0,,,0,,,2,,,,,,2,,,100,,,15,,,35000,,,,,,2,,,,,,,,,2,,,,,,13,,,,,,1,,,2400,,,3,,,9000,,
675702,2008,,,1,,,0,,,0,,,1,,,,,,2,,,32,,,15,,,140000,,,2,,,2,,,,,,,,,2,,,,,,,,,6,,,2,,,11200,,,1,,,105000,,
675905,2012,,,1,,,0,,,0,,,1,,,,,,2,,,20,,,10,,,70000,,,,,,2,,,,,,,,,2,,,,,,2.45,,,,,,1,,,7923,,,4,,,51873,,
676470,2005,,,1,,,0,,,0,,,1,,,,,,2,,,30,,,20,,,80000,,,1,,,2,,,,,,,,,2,,,,,,,,,3.19,,,2,,,4042,,,1,,,39781.547006,,
680243,2002,,,0,,,0,,,1,,,1,,,1,,,2,,,100,,,15,,,55000,,,,,,2,,,,,,,,,2,,,,,,3,,,,,,1,,,3600,,,4,,,9000,,
680244,2007,,,0,,,0,,,1,,,1,,,1,,,2,,,20,,,25,,,180000,,,1,,,2,,,,,,,,,2,,,,,,,,,5,,,2,,,11000,,,4,,,100000,,
680870,2013,,,1,,,0,,,0,,,1,,,,,,2,,,30,,,23,,,70000,,,1,,,2,,,,,,,,,2,,,,,,,,,7.5,,,2,,,6000,,,4,,,65000,,
681380,1996,,,0,,,0,,,1,,,1,,,1,,,2,,,100,,,25,,,70000,,,,,,2,,,,,,,,,2,,,,,,4.5,,,,,,1,,,2500,,,4,,,15000,,
681387,2001,,,1,,,0,,,0,,,2,,,,,,2,,,100,,,15,,,70000,,,,,,2,,,,,,,,,2,,,,,,3,,,,,,1,,,4000,,,4,,,8000,,
681394,2011,,,1,,,0,,,0,,,1,,,,,,2,,,60,,,30,,,165000,,,2,,,2,,,,,,,,,2,,,,,,,,,3,,,2,,,7200,,,1,,,140000,,
681477,2002,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,25,,,77000,,,,,,2,,,,,,,,,2,,,,,,4,,,,,,1,,,5000,,,1,,,50000,,
681713,2003,,,1,,,0,,,0,,,1,,,,,,2,,,30,,,20,,,139000,,,2,,,2,,,,,,,,,2,,,,,,,,,2.5,,,2,,,8000,,,1,,,80000,,
681844,2012,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,36,,,300000,,,,,,2,,,,,,,,,2,,,,,,3.75,,,,,,1,,,13500,,,4,,,260000,,
681875,2003,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,25,,,83000,,,,,,2,,,,,,,,,2,,,,,,4.5,,,,,,1,,,4560,,,4,,,50400,,
681897,2001,,,1,,,0,,,0,,,1,,,,,,2,,,80,,,30,,,100000,,,2,,,2,,,,,,,,,2,,,,,,,,,2,,,2,,,8400,,,1,,,70000,,
682359,2000,,,1,,,0,,,0,,,2,,,,,,2,,,80,,,15,,,70000,,,2,,,2,,,,,,,,,2,,,,,,,,,5,,,2,,,3840,,,2,,,640,,
682791,1997,,,1,,,0,,,0,,,1,,,,,,1,,,80,,,20,,,150000,,,,,,2,,,,,,,,,2,,,,,,5,,,,,,1,,,12000,,,3,,,30000,,
683033,2005,2009,,1,0,,0,0,,0,1,,1,3,,,1,,2,2,,80,80,,36,10,,150000,20000,,1,,,2,2,,1,,,2,,,1,2,,,,,,9,,2.5,,,2,1,,6000,2000,,1,1,,120000,10000,
683164,2011,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,25,,,150000,,,1,,,2,,,,,,,,,2,,,,,,,,,2.7,,,2,,,8400,,,4,,,135000,,
683349,2002,,,1,,,0,,,0,,,1,,,,,,2,,,80,,,20,,,140000,,,2,,,2,,,,,,,,,2,,,,,,,,,1,,,2,,,10800,,,4,,,90000,,
683352,2007,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,30,,,125000,,,,,,2,,,,,,,,,2,,,,,,6.8,,,,,,1,,,4000,,,4,,,70000,,
683469,2008,,,1,,,0,,,0,,,2,,,,,,2,,,50,,,20,,,125000,,,1,,,2,,,,,,,,,2,,,,,,,,,6.3,,,2,,,7500,,,1,,,93000,,
683611,2007,,,1,,,0,,,0,,,1,,,,,,2,,,75,,,25,,,130000,,,2,,,2,,,,,,,,,2,,,,,,,,,4.5,,,2,,,6000,,,4,,,90000,,
684240,2001,,,1,,,0,,,0,,,1,,,,,,1,,,70,,,30,,,130000,,,,,,2,,,,,,,,,2,,,,,,3.5,,,,,,1,,,4500,,,4,,,60000,,
684407,1999,,,1,,,0,,,0,,,1,,,,,,2,,,90,,,20,,,150000,,,,,,1,,,,,,,,,2,,,1,,,3,,,,,,1,,,9000,,,1,,,50000,,
