nquest,nord,nesplav,dislav,disann,exlav,etalav,contrib,acontrib,etalav2,etapen,coppu,prevcom,coppip,mcontrib,anprevcom,mprevcom1
32034,1,1,2,,,15,1,38,,,,,,,,
32034,2,0,,,,,,,,,,,,,,
32044,1,0,,,,,,,,,,,,,,
32052,1,1,2,,,13,1,40,,,,,,,,
32052,2,1,2,,,16,1,15,,,,,,,,
32057,1,1,2,,,18,1,52,,,,,,,,
32057,2,1,2,,,19,1,8,,,,,,,,
32057,3,1,2,,,25,1,23,,,,,,,,
32190,1,2,2,,1,22,1,37,,,,,,,,
32209,1,0,,,,,,,,,,,,,,
32209,2,4,2,,1,13,1,37,,,,,,,,
32210,1,2,1,1,3,16,1,16,,,,,,,,
32210,2,5,1,1,3,15,1,30,,,,,,,,
32210,3,3,,,1,19,1,6,,,,,,,,
32288,1,5,2,,3,15,1,37,51,60,60,,,,,
32288,2,4,2,,3,15,1,2,48,,,,,,,
32318,1,0,,,,,,,,,,,,,,
32320,1,1,2,,,20,1,32,,60,60,2,,,,
32320,2,1,2,,,26,1,30,,,,2,,,,
32320,3,0,,,,,,,,,,,,,,
32320,4,0,,,,,,,,,,,,,,
32470,1,1,2,,,20,1,41,,,,,,,,
32470,2,2,1,1,3,20,1,20,25,,,,,,,
32471,1,1,2,,,15,1,35,,,,,,,,
32524,1,5,2,,1,18,1,27,,,,,,,,
32524,2,1,2,,,25,1,36,,,,,,,,
32556,1,6,2,,3,14,1,40,,,,,,,,
32668,1,1,2,,,19,1,27,,,,,,,,
32668,2,0,,,,,,,,,,,,,,
32668,3,1,,,,18,1,15,,,,,,,,
32703,1,1,2,,,27,1,18,,,,,,,,
32703,2,5,2,,1,18,1,16,,,,,,,,
32709,1,4,2,,3,20,1,37,,,,,,,,
32709,2,2,2,,1,18,1,20,,,,,,,,
32709,3,1,2,,,26,1,15,,,,3,,,,
32709,4,1,2,,,25,1,9,,,,3,,,,
32729,1,1,2,,,18,1,42,,60,40,,,,,
32729,2,2,2,,2,17,1,21,44,64,30,,,,,
32733,1,2,2,,3,14,1,45,,,,,,,,
32733,2,0,,,,,,,,,,,,,,
32734,1,1,2,,,15,1,33,,58,70,1,70,,,
32742,1,3,2,,1,14,1,38,,,,,,,,
32742,2,3,2,,1,12,1,38,,,,,,,,
32751,1,3,2,,1,15,1,32,,,,,,,,
32765,1,3,2,,1,22,1,32,30,65,80,2,,,,
32765,2,2,2,,1,26,1,34,32,67,80,1,90,,,
32772,1,0,,,,,,,,,,,,,,
32772,2,3,2,,1,17,1,40,,,,,,,,
32810,1,1,2,,,15,1,30,,,,,,,,
32822,1,1,2,,,21,1,44,,,,,,,,
32822,2,0,,,,,,,,,,,,,,
32822,3,1,2,,,18,1,2,,,,3,,,,
32839,1,3,2,,1,14,1,37,,,,,,,,
32839,2,2,2,,1,14,1,12,,,,,,,,
32861,1,1,2,,,18,1,40,,,,,,,,
32861,2,1,2,,,18,1,40,,,,,,,,
32861,3,1,2,,,18,1,7,,60,70,2,,,,
32887,1,3,2,,3,20,1,31,21,70,30,,,,,
32887,2,3,2,,3,20,1,29,23,,,,,,,
32887,3,2,2,,1,21,1,2,23,,,3,,,,
32987,1,2,2,,1,13,1,20,,,,,,,,
32987,2,6,2,,1,14,1,40,,,,,,,,
33036,1,1,1,3,,15,1,28,,,,,,,,
33036,2,0,,,,,,,,,,,,,,
33036,3,2,,,1,15,1,3,,,,,,,,
33038,1,0,,,,,,,,,,,,,,
33038,2,6,1,3,1,18,1,24,43,68,50,,,,,
33038,3,1,2,,,21,1,3,,,,,,,,
33275,1,1,2,,,30,1,35,,,,,,,,
33275,2,1,2,,,25,1,30,,,,,,,,
33303,1,2,2,,1,20,1,35,,,,,,,,
33303,2,3,2,,1,20,1,30,,,,,,,,
33335,1,4,2,,1,16,1,34,27,63,80,,,,,
33335,2,1,2,,,15,1,40,,57,70,2,,,,
33335,3,5,2,,3,16,1,5,28,65,50,,,,,
33335,4,1,2,,,20,1,7,,,,1,,,,
33336,1,1,2,,,18,1,26,,67,70,,,,,
33336,2,1,2,,,20,1,30,,,,,,,,
33348,1,3,2,,1,21,1,37,,,,,,,,
33348,2,2,2,,1,14,1,7,,,,,,,,
33451,1,1,2,,,19,1,40,,65,80,2,,,,
33451,2,0,,,,,,,,,,,,,,
33451,3,0,,,,,,,,,,,,,,
33455,1,1,1,7,,30,1,37,,,,,,,,
33479,1,1,2,,,22,1,40,,,,,,,,
33479,2,1,2,,,24,1,40,,,,,,,,
33644,1,1,2,,,15,1,40,,,,,,,,
33644,2,3,1,2,1,18,1,8,38,,,3,,,,
33751,1,1,2,,,24,1,39,,,,,,,,
33751,2,1,2,,,30,1,15,,,,,,,,
33761,1,1,2,,,29,1,39,,,,,,,,
33761,2,0,,,,,,,,,,,,,,
33773,1,2,2,,1,39,1,14,41,65,70,,,,,
33773,2,0,,,,,,,,,,,,,,
33773,3,0,,,,,,,,,,,,,,
33773,4,,,,,,,,,,,,,,,
33823,1,1,1,3,,16,1,15,,,,,,,,
33839,1,0,,,,,,,,,,,,,,
33877,1,2,2,,3,22,1,29,44,66,50,2,,,,
33877,2,2,2,,1,20,1,36,43,,,2,,,,
33882,1,2,2,,1,23,1,35,,,,,,,,
33882,2,2,1,10,1,18,1,5,,,,,,,,
33937,1,4,2,,3,10,1,20,,,,,,,,
33937,2,0,,,,,,,,,,,,,,
33937,3,2,2,,3,18,1,10,35,,,,,,,
33983,1,1,2,,,24,1,35,,67,80,2,,,,
33983,2,2,2,,1,20,1,25,47,,,,,,,
33983,3,,,,,,,,,,,,,,,
33985,1,3,2,,2,28,1,37,30,70,30,,,,,
33985,2,1,2,,,24,1,40,,,,2,,,,
33985,3,1,2,,,28,2,,,,,,,,,
33985,4,0,,,,,,,,,,,,,,
33994,1,2,2,,1,22,1,36,,,,,,,,
33994,2,0,,,,,,,,,,,,,,
33994,3,3,1,15,1,20,1,3,36,,,2,,,,
34059,1,1,2,,,20,1,40,,,,,,,,
34252,1,1,1,5,,19,1,35,,,,,,,,
34396,1,2,1,2,1,17,2,,,,,,,,,
34396,2,2,2,,1,28,1,22,47,65,50,2,,,,
34732,1,1,2,,,14,1,40,,,,,,,,
34732,2,0,,,,,,,,,,,,,,
34778,1,0,,,,,,,,,,,,,,
34778,2,1,1,3,,20,1,15,,,,2,,,,
34793,1,0,,,,,,,,,,,,,,
34793,2,1,2,,,20,1,5,,,,2,,,,
34793,3,1,2,,,22,1,5,,,,2,,,,
34825,1,2,2,,1,16,1,42,,,,,,,,
34825,2,3,1,5,1,20,1,40,30,,,2,,,,
34825,3,1,2,,,20,1,9,,,,2,,,,
34900,1,2,1,4,1,18,1,19,38,65,40,2,,,,
34900,2,1,2,,,16,1,37,,,,1,,,,
34900,3,0,,,,,,,,,,,,,,
34900,4,,,,,,,,,,,,,,,
35005,1,5,2,,3,12,1,34,,,,,,,,
35005,2,0,,,,,,,,,,,,,,
35022,1,0,,,,,,,,,,,,,,
35022,2,2,1,3,3,18,1,20,38,,,3,,,,
35022,3,0,,,,,,,,,,,,,,
35022,4,0,,,,,,,,,,,,,,
35032,1,3,2,,1,14,1,40,21,60,90,,,,,
35032,2,3,1,6,1,24,1,30,25,63,50,2,,,,
35032,3,1,2,,,25,1,2,,,,3,,,,
35032,4,0,,,,,,,,,,,,,,
35234,1,7,1,3,3,15,1,36,,,,,,,,
35234,2,1,2,,,23,1,30,,,,,,,,
35319,1,0,,,,,,,,,,,,,,
