nquest,anmutuo31,anmutuo32,anmutuo33,anmutuo34,debgar31_1,debgar32_1,debgar33_1,debgar34_1,debgar31_2,debgar32_2,debgar33_2,debgar34_2,debgar31_3,debgar32_3,debgar33_3,debgar34_3,debm31,debm32,debm33,debm34,debpers31,debpers32,debpers33,debpers34,debrf31,debrf32,debrf33,debrf34,debgar31_4,debgar32_4,debgar33_4,debgar34_4,mutuodu31,mutuodu32,mutuodu33,mutuodu34,mutuoin31,mutuoin32,mutuoin33,mutuoin34,taeg11,taeg12,taeg13,taeg14,tdebita31,tdebita32,tdebita33,tdebita34,tipotax31,tipotax32,tipotax33,tipotax34,tmutuoab31,tmutuoab32,tmutuoab33,tmutuoab34,debgar31_5,debgar32_5,debgar33_5,debgar34_5
908037,2014,,,,0,,,,0,,,,0,,,,4,,,,1,,,,2,,,,1,,,,4,,,,4000,,,,,,,,3000,,,,3,,,,1000,,,,0,,,
908050,2013,,,,0,,,,0,,,,0,,,,4,,,,2,,,,2,,,,1,,,,10,,,,36000,,,,3.05,,,,30000,,,,2,,,,3600,,,,0,,,
908051,2012,,,,0,,,,0,,,,0,,,,4,,,,1,,,,2,,,,1,,,,5,,,,5000,,,,4,,,,2500,,,,2,,,,1200,,,,0,,,
908153,2013,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,5,,,,10000,,,,4,,,,8000,,,,1,,,,3000,,,,0,,,
908355,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,1,,,,5000,,,,,,,,4700,,,,3,,,,300,,,,0,,,
908359,2004,,,,0,,,,0,,,,0,,,,4,,,,2,,,,1,,,,1,,,,15,,,,30000,,,,8,,,,15000,,,,1,,,,10800,,,,0,,,
908645,2011,2012,2013,,0,0,0,,0,0,0,,0,0,0,,1,1,4,,1,1,2,,2,2,2,,1,1,1,,5,5,4,,21500,7000,9000,,7,7,4,,5000,4500,4600,,1,1,1,,4400,1440,2400,,0,0,0,
908673,2010,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,6,,,,15000,,,,5,,,,3000,,,,1,,,,4000,,,,0,,,
908710,2008,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,10,,,,10000,,,,,,,,5000,,,,3,,,,2500,,,,0,,,
908711,2014,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,2,,,,3500,,,,,,,,1020,,,,3,,,,2000,,,,0,,,
