nquest,anmutuo31,anmutuo32,anmutuo33,anmutuo34,debgar31_1,debgar32_1,debgar33_1,debgar34_1,debgar31_2,debgar32_2,debgar33_2,debgar34_2,debgar31_3,debgar32_3,debgar33_3,debgar34_3,debm31,debm32,debm33,debm34,debpers31,debpers32,debpers33,debpers34,debrf31,debrf32,debrf33,debrf34,debgar31_4,debgar32_4,debgar33_4,debgar34_4,mutuodu31,mutuodu32,mutuodu33,mutuodu34,mutuoin31,mutuoin32,mutuoin33,mutuoin34,taeg11,taeg12,taeg13,taeg14,tdebita31,tdebita32,tdebita33,tdebita34,tipotax31,tipotax32,tipotax33,tipotax34,tmutuoab31,tmutuoab32,tmutuoab33,tmutuoab34,debgar31_5,debgar32_5,debgar33_5,debgar34_5
505424,2014,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,1,,,,2500,,,,,,,,2500,,,,3,,,,250,,,,0,,,
505606,2013,,,,1,,,,0,,,,0,,,,2,,,,,,,,2,,,,0,,,,3,,,,2100,,,,3,,,,1400,,,,1,,,,800,,,,0,,,
505768,2010,,,,0,,,,0,,,,0,,,,1,,,,1,,,,1,,,,1,,,,3,,,,12000,,,,,,,,1200,,,,3,,,,3000,,,,0,,,
505820,2011,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,4,,,,10000,,,,5,,,,1750,,,,1,,,,2500,,,,0,,,
506107,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,3,,,,4500,,,,3,,,,3000,,,,1,,,,1500,,,,0,,,
506152,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,3,,,,15000,,,,2,,,,12000,,,,1,,,,3000,,,,0,,,
506413,2014,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,10,,,,20000,,,,2,,,,16000,,,,1,,,,4800,,,,0,,,
506458,2011,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,10,,,,18000,,,,6,,,,12000,,,,1,,,,2400,,,,0,,,
507037,2014,2014,,,0,0,,,0,0,,,0,0,,,1,1,,,1,1,,,2,2,,,1,1,,,3,3,,,7200,7200,,,,,,,5000,5000,,,3,3,,,2000,2000,,,0,0,,
507081,2012,2013,,,0,0,,,0,0,,,0,0,,,1,1,,,1,1,,,1,2,,,1,1,,,3,5,,,6000,15000,,,8,12,,,800,10000,,,2,1,,,2500,4000,,,0,0,,
507185,2011,2013,,,0,0,,,0,0,,,0,0,,,1,1,,,1,1,,,2,2,,,1,1,,,5,5,,,10000,10000,,,7.06,5,,,3800,10000,,,1,1,,,2200,2800,,,0,0,,
507419,2011,,,,1,,,,0,,,,0,,,,4,,,,,,,,2,,,,0,,,,10,,,,28000,,,,2.7,,,,22000,,,,2,,,,3240,,,,0,,,
507542,2010,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,12000,,,,7.5,,,,2000,,,,1,,,,2000,,,,0,,,
508861,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,2,,,,3000,,,,5,,,,2300,,,,1,,,,700,,,,0,,,
509071,2008,,,,0,,,,0,,,,0,,,,4,,,,2,,,,2,,,,1,,,,10,,,,42000,,,,,,,,17600,,,,3,,,,4200,,,,0,,,
509074,2009,,,,0,,,,0,,,,0,,,,4,,,,1,,,,1,,,,1,,,,10,,,,25000,,,,4,,,,15000,,,,1,,,,4600,,,,0,,,
510433,2013,2014,,,0,0,,,0,0,,,0,0,,,1,2,,,1,1,,,2,2,,,1,1,,,3,1,,,12000,3000,,,7.5,7.5,,,4000,1800,,,1,1,,,3600,1200,,,0,0,,
511147,2012,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,4,,,,6500,,,,4.5,,,,2400,,,,1,,,,1800,,,,0,,,
511757,2013,2012,,,0,0,,,0,0,,,0,0,,,1,4,,,1,2,,,2,2,,,1,1,,,5,10,,,12000,15000,,,7,6,,,9000,13000,,,1,1,,,3000,2200,,,0,0,,
512517,2013,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,2,,,,420,,,,13,,,,160,,,,1,,,,300,,,,0,,,
512784,2011,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,6,,,,10000,,,,,,,,6000,,,,3,,,,2500,,,,0,,,
512845,2005,,,,0,,,,0,,,,0,,,,4,,,,2,,,,1,,,,1,,,,10,,,,15000,,,,0,,,,3000,,,,1,,,,1800,,,,0,,,
512849,2014,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,2,,,,1500,,,,0,,,,800,,,,1,,,,800,,,,0,,,
513449,2013,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,10000,,,,6.8,,,,6300,,,,1,,,,2150,,,,0,,,
611614,2012,,,,0,,,,0,,,,0,,,,1,,,,1,,,,1,,,,1,,,,5,,,,12000,,,,5,,,,8000,,,,1,,,,3000,,,,0,,,
614660,2014,,,,0,,,,0,,,,0,,,,4,,,,,,,,2,,,,0,,,,5,,,,30000,,,,9,,,,26000,,,,1,,,,5800,,,,1,,,
615399,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,10000,,,,4.1,,,,9100,,,,1,,,,1100,,,,0,,,
620481,2012,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,12000,,,,,,,,6000,,,,3,,,,3000,,,,0,,,
622915,2012,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,4,,,,5000,,,,5.2,,,,1500,,,,1,,,,2400,,,,0,,,
633654,2009,,,,0,,,,0,,,,0,,,,4,,,,1,,,,2,,,,1,,,,8,,,,20000,,,,7.45,,,,10000,,,,1,,,,3200,,,,0,,,
635112,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,12000,,,,3.2,,,,11500,,,,1,,,,500,,,,0,,,
635346,2014,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,3,,,,10000,,,,5.6,,,,6000,,,,1,,,,3000,,,,0,,,
636407,2007,,,,0,,,,0,,,,1,,,,4,,,,,,,,2,,,,0,,,,10,,,,10000,,,,6,,,,2800,,,,1,,,,1700,,,,0,,,
637701,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,4,,,,8000,,,,7,,,,6000,,,,1,,,,2000,,,,0,,,
639013,2012,2011,,,0,0,,,0,0,,,0,0,,,4,5,,,1,1,,,1,1,,,1,1,,,5,5,,,20000,15000,,,8,9,,,12350,3750,,,1,1,,,4224,3180,,,0,0,,
641628,2014,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,1,,,,700,,,,,,,,70,,,,3,,,,630,,,,0,,,
648889,2012,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,4,,,,9600,,,,,,,,3600,,,,3,,,,2400,,,,0,,,
670853,2014,2014,,,0,0,,,0,0,,,0,0,,,4,4,,,1,1,,,2,2,,,1,1,,,3,3,,,5000,7000,,,20,15,,,4500,6500,,,1,1,,,1000,2000,,,0,0,,
671136,2005,,,,0,,,,0,,,,0,,,,4,,,,,,,,1,,,,0,,,,10,,,,5000,,,,8,,,,2000,,,,2,,,,600,,,,1,,,
671480,2010,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,6000,,,,5,,,,280,,,,1,,,,1716,,,,0,,,
671893,2010,,,,0,,,,0,,,,0,,,,4,,,,,,,,2,,,,0,,,,4,,,,12000,,,,6.5,,,,650,,,,1,,,,3000,,,,1,,,
672580,2010,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,5,,,,22800,,,,0,,,,1024,,,,1,,,,4560,,,,0,,,
673378,2012,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,4,,,,10000,,,,7,,,,3000,,,,1,,,,3300,,,,0,,,
673452,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,4,,,,30000,,,,,,,,24000,,,,3,,,,5500,,,,0,,,
673858,2004,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,15,,,,65000,,,,6,,,,36000,,,,1,,,,7200,,,,0,,,
674019,2012,2013,2013,2009,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,4,,1,,2,2,2,2,2,0,1,0,1,7,4,6,10,22000,600,20000,25000,0,0,0,6,16000,300,13000,14000,1,1,1,1,3864,156,3432,3400,0,0,0,0
674239,2013,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,6,,,,20500,,,,6.9,,,,12000,,,,1,,,,4080,,,,0,,,
674264,2014,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,4,,,,15000,,,,3.7,,,,11000,,,,2,,,,4100,,,,0,,,
674320,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,1,,,,1,,,,2,,,,15000,,,,0.03,,,,10000,,,,1,,,,350,,,,0,,,
674361,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,2,,,,6800,,,,,,,,6600,,,,3,,,,200,,,,0,,,
674968,2010,,,,0,,,,0,,,,0,,,,1,,,,2,,,,2,,,,1,,,,5,,,,11000,,,,7,,,,2000,,,,1,,,,3000,,,,0,,,
675334,2013,2007,,,0,0,,,0,0,,,0,0,,,2,4,,,1,2,,,2,1,,,1,1,,,10,10,,,7000,27000,,,7,6.5,,,6500,5000,,,1,1,,,1200,3600,,,0,0,,
675953,2014,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,6,,,,2000,,,,3,,,,1700,,,,1,,,,480,,,,0,,,
676000,2013,,,,0,,,,0,,,,0,,,,4,,,,2,,,,2,,,,1,,,,5,,,,20000,,,,3,,,,999,,,,1,,,,999,,,,0,,,
676521,2005,,,,0,,,,0,,,,0,,,,2,,,,2,,,,1,,,,1,,,,10,,,,20000,,,,8.4,,,,5000,,,,1,,,,3372,,,,0,,,
676851,2014,,,,0,,,,0,,,,0,,,,4,,,,1,,,,1,,,,1,,,,10,,,,30000,,,,8.5,,,,28300,,,,1,,,,4650,,,,0,,,
677489,2009,,,,0,,,,0,,,,0,,,,4,,,,2,,,,2,,,,1,,,,10,,,,20000,,,,5,,,,6500,,,,1,,,,3600,,,,0,,,
678304,2014,,,,0,,,,0,,,,0,,,,4,,,,2,,,,1,,,,1,,,,8,,,,23500,,,,5.5,,,,21000,,,,1,,,,2640,,,,0,,,
680244,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,1,,,,1,,,,5,,,,15000,,,,,,,,13000,,,,3,,,,2000,,,,0,,,
680285,2010,,,,0,,,,0,,,,0,,,,2,,,,1,,,,1,,,,1,,,,7,,,,6000,,,,0.08,,,,2400,,,,1,,,,1400,,,,0,,,
680407,2013,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,2,,,,5000,,,,6,,,,1280,,,,1,,,,2880,,,,0,,,
680870,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,20000,,,,6.9,,,,18000,,,,2,,,,1625,,,,0,,,
680914,2013,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,17000,,,,,,,,13000,,,,3,,,,5200,,,,0,,,
681349,2014,,,,0,,,,0,,,,0,,,,4,,,,,,,,1,,,,0,,,,4,,,,6000,,,,6,,,,5000,,,,1,,,,1200,,,,1,,,
681394,2012,2008,,,1,1,,,0,0,,,0,0,,,1,1,,,,,,,2,2,,,0,0,,,10,7,,,16000,11000,,,5,7,,,14000,3000,,,1,1,,,2100,1800,,,0,0,,
681477,2014,,,,0,,,,0,,,,0,,,,2,,,,1,,,,1,,,,1,,,,1,,,,1000,,,,,,,,800,,,,3,,,,200,,,,0,,,
681520,2013,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,6,,,,20000,,,,5,,,,17000,,,,1,,,,300,,,,1,,,
682457,2014,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,1,,,,300,,,,,,,,200,,,,3,,,,100,,,,0,,,
682737,2013,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,2,,,,2400,,,,,,,,700,,,,3,,,,1500,,,,0,,,
682791,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,1,,,,1,,,,5,,,,14000,,,,,,,,14000,,,,3,,,,290,,,,0,,,
682884,2013,,,,1,,,,0,,,,0,,,,1,,,,,,,,1,,,,0,,,,4,,,,20000,,,,1,,,,8000,,,,1,,,,5280,,,,0,,,
682900,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,2,,,,5000,,,,7.5,,,,2500,,,,1,,,,2000,,,,0,,,
683033,2009,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,10,,,,20000,,,,9,,,,10000,,,,1,,,,2000,,,,0,,,
683164,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,21000,,,,5,,,,19800,,,,1,,,,1200,,,,0,,,
683349,2009,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,10,,,,19000,,,,3.5,,,,11000,,,,2,,,,3000,,,,0,,,
683377,2011,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,5,,,,13000,,,,6,,,,3000,,,,1,,,,3000,,,,0,,,
683472,2010,2013,2013,,0,0,0,,0,0,0,,0,0,0,,1,2,1,,1,1,1,,1,1,2,,1,1,1,,6,1,4,,8000,970,9000,,7,3,8,,3800,100,4500,,1,1,1,,1850,480,2200,,0,0,0,
684328,2008,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,10,,,,10000,,,,2.5,,,,3000,,,,1,,,,1200,,,,0,,,
684684,2011,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,3,,,,2700,,,,6,,,,68,,,,1,,,,900,,,,0,,,
684992,2011,,,,1,,,,0,,,,0,,,,1,,,,,,,,1,,,,0,,,,5,,,,15000,,,,,,,,6000,,,,3,,,,3000,,,,0,,,
685124,2014,,,,0,,,,0,,,,0,,,,4,,,,,,,,2,,,,0,,,,2,,,,13000,,,,11,,,,12528,,,,1,,,,2496,,,,1,,,
685149,2013,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,3,,,,4000,,,,6,,,,2800,,,,1,,,,1800,,,,0,,,
685164,2013,2014,2014,,0,0,0,,0,0,0,,0,0,0,,1,1,4,,1,1,1,,2,2,2,,1,1,1,,4,4,4,,20000,20000,20000,,3,3,3,,12000,15000,15000,,1,1,1,,6000,6000,6000,,0,0,0,
685487,2013,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,4,,,,10000,,,,4,,,,6000,,,,1,,,,3000,,,,0,,,
685591,2011,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,5,,,,2600,,,,7.3,,,,1100,,,,1,,,,700,,,,0,,,
685793,2013,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,3,,,,1200,,,,7.5,,,,800,,,,1,,,,450,,,,0,,,
686185,2000,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,18000,,,,4,,,,7200,,,,1,,,,3600,,,,0,,,
686634,2014,,,,1,,,,0,,,,0,,,,2,,,,,,,,2,,,,0,,,,1,,,,1000,,,,,,,,345,,,,3,,,,700,,,,0,,,
687070,2012,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,5,,,,17000,,,,15,,,,7000,,,,1,,,,4000,,,,0,,,
687304,2008,,,,0,,,,0,,,,0,,,,4,,,,1,,,,2,,,,1,,,,8,,,,20000,,,,6,,,,5000,,,,1,,,,3000,,,,0,,,
687321,2013,,,,0,,,,0,,,,0,,,,1,,,,1,,,,1,,,,1,,,,4,,,,10000,,,,7,,,,5100,,,,1,,,,2600,,,,0,,,
687462,2013,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,8700,,,,5,,,,5000,,,,1,,,,1700,,,,0,,,
687987,2008,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,9,,,,13000,,,,7,,,,3900,,,,1,,,,6000,,,,0,,,
688111,2010,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,5,,,,21000,,,,5,,,,5000,,,,1,,,,6000,,,,0,,,
688157,2014,,,,0,,,,0,,,,0,,,,4,,,,1,,,,2,,,,1,,,,2,,,,2400,,,,,,,,2000,,,,3,,,,400,,,,0,,,
688277,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,18000,,,,4,,,,15000,,,,1,,,,3000,,,,0,,,
688287,2013,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,2,,,,5000,,,,12,,,,2500,,,,2,,,,2500,,,,0,,,
701536,2012,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,4,,,,11500,,,,4,,,,7156,,,,1,,,,3600,,,,0,,,
704372,2012,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,2,,,,8000,,,,7,,,,300,,,,1,,,,3600,,,,0,,,
707307,2010,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,7,,,,12000,,,,7,,,,8000,,,,1,,,,2000,,,,0,,,
708747,2013,2014,,,0,0,,,0,0,,,0,0,,,4,4,,,1,1,,,2,1,,,1,1,,,2,2,,,1500,2000,,,,,,,1500,1600,,,3,3,,,100,90,,,0,0,,
711312,2013,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,10000,,,,,,,,7500,,,,3,,,,2000,,,,0,,,
711660,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,3,,,,4900,,,,,,,,4000,,,,3,,,,400,,,,0,,,
712869,2010,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,7900,,,,,,,,1020,,,,3,,,,2040,,,,0,,,
713359,2014,,,,0,,,,0,,,,0,,,,4,,,,1,,,,2,,,,1,,,,1,,,,500,,,,,,,,100,,,,3,,,,500,,,,0,,,
715865,2013,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,3,,,,7000,,,,,,,,2300,,,,3,,,,195,,,,0,,,
718674,2012,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,4,,,,23000,,,,6,,,,8000,,,,1,,,,6000,,,,0,,,
719025,2011,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,5,,,,13000,,,,6,,,,2600,,,,1,,,,2600,,,,0,,,
719666,2014,,,,0,,,,0,,,,0,,,,4,,,,1,,,,1,,,,1,,,,2,,,,1500,,,,5,,,,1200,,,,1,,,,500,,,,0,,,
720209,2014,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,2,,,,900,,,,0,,,,900,,,,1,,,,50,,,,0,,,
720256,2013,,,,0,,,,0,,,,0,,,,1,,,,1,,,,1,,,,1,,,,4,,,,10000,,,,6,,,,7000,,,,1,,,,3058,,,,0,,,
720416,2012,,,,0,,,,1,,,,0,,,,4,,,,,,,,1,,,,0,,,,5,,,,10000,,,,6.5,,,,6000,,,,1,,,,2200,,,,0,,,
720566,2012,,,,0,,,,0,,,,0,,,,1,,,,,,,,1,,,,0,,,,4,,,,15000,,,,8,,,,3200,,,,1,,,,3000,,,,1,,,
721871,2010,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,12000,,,,7.5,,,,800,,,,1,,,,2400,,,,0,,,
722608,2010,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,6,,,,15000,,,,6,,,,4500,,,,1,,,,3250,,,,0,,,
724708,2010,,,,0,,,,0,,,,0,,,,4,,,,2,,,,2,,,,1,,,,10,,,,5000,,,,4,,,,3000,,,,2,,,,1200,,,,0,,,
724899,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,1,,,,1,,,,12,,,,10000,,,,,,,,1000,,,,3,,,,5000,,,,0,,,
727001,2012,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,7,,,,10000,,,,5,,,,6000,,,,1,,,,2000,,,,0,,,
727138,2010,,,,0,,,,0,,,,0,,,,4,,,,2,,,,2,,,,1,,,,5,,,,5000,,,,,,,,500,,,,3,,,,1200,,,,0,,,
728547,2013,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,4,,,,15000,,,,5,,,,11000,,,,1,,,,4000,,,,0,,,
731810,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,12000,,,,6,,,,11600,,,,1,,,,400,,,,0,,,
731827,2014,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,2,,,,1400,,,,4,,,,700,,,,1,,,,700,,,,0,,,
732343,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,7,,,,12500,,,,6,,,,11300,,,,1,,,,750,,,,0,,,
732369,2011,2013,,,0,0,,,0,0,,,0,0,,,1,1,,,1,1,,,2,2,,,1,1,,,10,4,,,17000,4000,,,4,4,,,8000,2200,,,1,1,,,3000,1380,,,0,0,,
734107,2010,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,10,,,,10000,,,,0,,,,5200,,,,1,,,,100,,,,0,,,
735143,2013,2011,,,1,1,,,0,0,,,0,0,,,1,1,,,,,,,2,1,,,0,0,,,4,5,,,10000,10000,,,7,6,,,8000,2500,,,1,1,,,290,211,,,0,0,,
736010,2014,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,2,,,,800,,,,0,,,,400,,,,1,,,,350,,,,0,,,
800040,2014,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,3,,,,10000,,,,7,,,,6880,,,,1,,,,3220,,,,0,,,
801221,2013,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,7,,,,14000,,,,7,,,,10000,,,,1,,,,2000,,,,0,,,
801875,2006,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,4,,,,12600,,,,5,,,,1800,,,,1,,,,1800,,,,0,,,
801966,2012,,,,0,,,,0,,,,0,,,,4,,,,,,,,2,,,,0,,,,5,,,,15000,,,,5.5,,,,5000,,,,1,,,,3350,,,,1,,,
801972,2008,2011,,,0,0,,,0,0,,,0,0,,,1,4,,,2,2,,,2,2,,,1,1,,,7,4,,,7000,5000,,,5.5,5.5,,,700,1000,,,1,1,,,2100,3200,,,0,0,,
802001,2014,,,,0,,,,0,,,,0,,,,1,,,,2,,,,2,,,,1,,,,4,,,,6000,,,,6,,,,5600,,,,1,,,,1900,,,,0,,,
803205,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,3,,,,18000,,,,,,,,15500,,,,3,,,,2500,,,,0,,,
803661,2009,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,6,,,,19000,,,,8,,,,4300,,,,1,,,,4300,,,,0,,,
805227,2011,,,,1,,,,0,,,,0,,,,1,,,,,,,,1,,,,0,,,,5,,,,32000,,,,8.3,,,,5000,,,,1,,,,4800,,,,0,,,
805330,2014,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,2,,,,1000,,,,,,,,810,,,,3,,,,90,,,,0,,,
807146,2012,,,,0,,,,0,,,,0,,,,1,,,,1,,,,1,,,,1,,,,5,,,,11000,,,,2,,,,5000,,,,2,,,,3300,,,,0,,,
808182,2010,,,,0,,,,0,,,,0,,,,1,,,,2,,,,1,,,,1,,,,10,,,,10000,,,,8,,,,7000,,,,1,,,,1800,,,,0,,,
808712,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,1,,,,1,,,,2,,,,9072,,,,8.4,,,,6800,,,,1,,,,2268,,,,0,,,
809835,2010,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,5500,,,,3,,,,500,,,,1,,,,2400,,,,0,,,
812450,2010,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,14000,,,,7,,,,1100,,,,1,,,,2900,,,,0,,,
813355,2010,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,6,,,,22000,,,,5,,,,7500,,,,1,,,,4800,,,,0,,,
813829,2014,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,3,,,,5000,,,,0.7,,,,5000,,,,1,,,,1200,,,,0,,,
816847,2014,2012,,,1,1,,,0,0,,,0,0,,,1,1,,,,,,,2,2,,,0,0,,,5,5,,,8000,11000,,,3,3.5,,,5500,6840,,,1,1,,,2400,2280,,,0,0,,
820171,2011,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,6,,,,12000,,,,,,,,5000,,,,3,,,,2500,,,,0,,,
821020,2013,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,3,,,,15000,,,,6.48,,,,12000,,,,2,,,,6000,,,,0,,,
821841,2010,,,,0,,,,0,,,,0,,,,1,,,,2,,,,2,,,,1,,,,10,,,,18000,,,,6,,,,8400,,,,1,,,,2400,,,,0,,,
823524,2014,2014,2014,,0,0,0,,0,0,0,,0,0,0,,4,4,4,,1,1,1,,2,2,2,,1,1,1,,8,7,6,,24500,15000,13000,,10,13,10,,22000,11580,12000,,1,2,1,,4212,3420,1200,,0,0,0,
823993,2014,,,,0,,,,0,,,,0,,,,2,,,,1,,,,1,,,,1,,,,1,,,,420,,,,,,,,385,,,,3,,,,135,,,,0,,,
824808,2012,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,3,,,,6500,,,,6,,,,500,,,,1,,,,1980,,,,0,,,
827188,2011,,,,0,,,,0,,,,0,,,,1,,,,1,,,,1,,,,1,,,,4,,,,10000,,,,,,,,1600,,,,3,,,,2500,,,,0,,,
827870,2009,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,4200,,,,5.5,,,,200,,,,1,,,,1100,,,,0,,,
850013,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,4,,,,12000,,,,6,,,,10000,,,,1,,,,2100,,,,0,,,
851172,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,1,,,,1,,,,3,,,,12600,,,,7.6,,,,9800,,,,1,,,,2800,,,,0,,,
851703,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,6,,,,10000,,,,2.5,,,,9000,,,,1,,,,2000,,,,0,,,
852134,2007,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,5,,,,18000,,,,12,,,,15000,,,,1,,,,600,,,,0,,,
852156,2010,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,10000,,,,6,,,,560,,,,1,,,,1700,,,,0,,,
852173,2014,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,1,,,,950,,,,,,,,850,,,,3,,,,100,,,,0,,,
852377,2013,,,,0,,,,0,,,,0,,,,2,,,,2,,,,2,,,,1,,,,3,,,,3000,,,,5,,,,1900,,,,1,,,,1920,,,,0,,,
853175,2014,,,,0,,,,0,,,,0,,,,2,,,,,,,,2,,,,0,,,,1,,,,1000,,,,,,,,500,,,,3,,,,500,,,,1,,,
