nquest,ctit,nctit,ictit,unaban,banche,scoper,utscoper,mesiscoper,vmscoper,fscoper,carta,carte,usocart,bancomat,nbancoma,cartapre,ncartapre,spesecon,coldis,cartdeb,cartdeb1,fscoper1,DEPOSIT,NDEPOSIT
860783,,,,,,,,,,,2,,,1,1,2,,1000,2,,,,1,1
860787,,,,,,,,,,,2,,,2,,2,,400,2,,,,2,0
860799,2,,,1,1,2,,,,,1,2,1,1,2,2,,500,1,,,,1,2
860820,2,,,1,1,1,2,,,,1,1,1,1,1,2,,500,2,,,,1,2
860826,2,,,2,2,2,,,,,2,,,1,2,2,,800,2,,,,1,2
860851,1,2,2,1,1,1,2,,,,1,2,2,1,2,1,1,1000,1,,,,1,3
860884,,,,,,,,,,,2,,,2,,2,,2000,2,,,,2,0
860900,,,,,,,,,,,2,,,2,,2,,1800,2,,,,2,0
860929,2,,,1,1,2,,,,,2,,,2,,2,,700,2,,,,1,1
860940,2,,,1,1,1,2,,,,1,1,1,1,1,1,1,200,1,,,,1,2
860963,,,,,,,,,,,2,,,2,,2,,800,2,,,,1,1
860977,2,,,1,1,2,,,,,2,,,2,,2,,600,2,,,,1,1
860985,2,,,1,1,2,,,,,1,2,1,1,4,1,1,1000,2,,,,1,4
861001,1,1,1,1,1,2,,,,,1,1,1,1,1,2,,400,2,,,,1,1
861018,,,,1,1,,,,,,2,,,1,1,2,,1000,2,,,,1,1
861019,2,,,2,2,2,,,,,2,,,2,,2,,300,2,,,,1,3
861061,1,1,2,1,1,1,2,,,,1,1,2,1,1,1,1,500,1,,,,1,1
861065,2,,,1,1,2,,,,,1,1,1,1,2,2,,200,2,,,,1,1
861177,2,,,1,1,2,,,,,2,,,1,1,2,,600,2,,,,1,1
861189,2,,,1,1,2,,,,,2,,,1,1,2,,1500,2,,,,1,2
861232,2,,,1,1,2,,,,,1,1,1,1,2,2,,800,2,,,,1,2
861272,,,,,,,,,,,2,,,2,,2,,1200,2,,,,2,0
