nquest,motusc,annoenus,NORDP
878783,4,2014,6
878838,3,2013,3
878838,3,2013,4
878838,4,2014,5
879168,4,2014,4
879454,4,2014,2
879454,3,2014,3
879454,3,2014,4
879454,3,2014,5
879529,4,2013,3
879678,1,2013,1
879743,1,2013,2
879747,1,2013,1
880267,1,2014,2
880271,4,2013,3
880291,1,2014,6
880431,4,2013,4
880710,4,2013,3
880728,5,2014,3
880861,5,2013,1
881019,4,2013,2
881019,4,2013,3
881019,5,2013,4
881024,1,2013,2
881396,5,2014,1
881396,5,2014,2
881408,4,2014,3
881421,4,2014,3
881552,1,2014,1
881671,4,2013,2
881671,4,2013,3
881677,4,2014,3
881840,4,2013,4
882007,1,2014,1
882016,4,2014,1
882106,4,2014,2
882106,4,2014,3
882284,4,2013,2
882393,5,2013,2
882476,1,2014,2
882573,4,2013,2
882593,3,2014,3
882652,4,2013,2
882675,4,2013,3
882723,5,2013,2
882821,5,2013,2
882821,5,2013,3
883014,3,2013,3
883014,4,2014,4
883244,4,2013,3
883787,1,2013,2
883902,4,2014,2
883910,4,2014,2
883990,4,2014,1
884034,4,2014,3
884054,4,2014,3
884260,5,2013,3
884337,1,2014,3
884409,1,2014,1
884418,1,2014,1
884549,5,2013,2
884879,3,2013,3
884909,3,2013,3
884909,3,2013,4
884963,1,2014,3
884963,4,2013,4
884963,4,2013,5
884963,4,2013,6
884984,3,2013,2
884984,3,2013,3
885186,1,2014,1
885227,1,2013,1
885384,4,2013,2
885390,4,2014,2
885390,4,2014,3
885502,1,2014,2
885551,4,2013,2
885633,4,2014,2
885652,3,2013,1
885952,5,2013,1
886172,4,2013,2
886273,4,2013,3
886419,3,2014,3
886529,4,2013,4
886529,4,2013,5
886529,4,2013,6
886581,4,2014,2
886606,4,2013,4
886606,3,2013,5
886789,1,2013,5
886822,4,2013,3
886862,1,2013,2
886918,3,2013,1
886923,4,2013,2
887122,1,2014,1
887130,4,2013,2
887489,4,2013,3
887498,5,2013,3
887562,4,2014,3
887564,5,2013,2
887639,4,2013,3
887770,1,2014,2
887782,1,2013,1
887821,98,,1
887821,98,,2
887877,98,,1
887915,4,2013,1
887964,98,,1
888065,5,2014,2
888073,98,,2
888363,4,2013,3
888823,4,2013,3
889010,4,2014,2
889712,3,2013,2
889720,3,2014,2
889753,4,2013,3
