nquest,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YTA31,YTA32,YM,YMA1,YMA2,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4
877608,35788.712083,14000,14000,0,17550,17550,17550,0,0,0,0,0,0,0,0,0,0,4238.7120831,4200,0,4200,38.712083079,38.712083079,0,0,0
877612,58443.013426,15000,15000,0,0,0,0,0,0,0,0,0,0,0,35000,35000,0,8443.0134256,8400,0,8400,43.013425644,43.013425644,0,0,0
877615,20317.20537,15500,15500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4817.2053703,4800,0,4800,17.205370257,17.205370257,0,0,0
877619,35015.484833,32000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3015.4848332,3000,0,3000,15.484833232,15.484833232,0,0,0
877621,34961.584159,0,0,0,31980,31980,31980,0,0,0,0,0,0,0,0,0,0,2981.5841589,6000,0,6000,-3018.415841,68.82148103,0,92.7,3179.9373221
877645,34404.301343,26600,26600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7804.3013426,7800,0,7800,4.3013425644,4.3013425644,0,0,0
877653,45304.201888,7500,7500,0,31070,31070,31070,0,0,0,0,0,0,0,0,0,0,6734.201888,6600,0,6600,134.20188801,134.20188801,0,0,0
877662,33583.013426,0,0,0,7540,7540,7540,0,0,0,0,0,0,0,20000,20000,0,6043.0134256,6000,0,6000,43.013425644,43.013425644,0,0,0
877697,40027.893851,18000,18000,0,12545,12545,12545,0,0,0,0,0,0,0,3000,3000,0,6482.8938514,6000,0,6000,482.89385144,482.89385144,0,0,0
877713,31729.660582,0,0,0,27300,27300,27300,0,0,0,0,0,0,0,0,0,0,4429.6605817,6000,0,6000,-1570.339418,0,0,0,1570.3394183
877725,1203.6202424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203.6202424,1200,0,1200,3.6202423528,3.6202423528,0,0,0
877732,11614.193645,0,0,0,10400,10400,10400,0,0,0,0,0,0,0,0,0,0,1214.1936451,1200,0,1200,14.193645137,14.193645137,0,0,0
877739,19604.319919,0,0,0,16900,16900,16900,0,0,0,0,0,0,0,0,0,0,2704.3199187,2600,0,2600,104.31991871,104.31991871,0,0,0
877751,25300,0,0,0,16900,16900,16900,0,0,0,0,0,0,0,0,0,0,8400,8400,0,8400,0,0,0,0,0
877752,30212.904028,21800,21800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8412.9040277,8400,0,8400,12.904027693,12.904027693,0,0,0
877753,11738.712083,0,0,0,11700,11700,11700,0,0,0,0,0,0,0,0,0,0,38.712083079,0,0,0,38.712083079,38.712083079,0,0,0
877784,15205,0,0,0,12805,12805,12805,0,0,0,0,0,0,0,0,0,0,2400,2400,0,2400,0,0,0,0,0
877789,52170,0,0,0,40170,40170,40170,0,0,0,0,0,0,0,0,0,0,12000,12000,0,12000,0,0,0,0,0
877798,61360.754481,0,0,0,0,0,0,0,0,0,0,0,0,0,45000,45000,0,16360.754481,14400,4800,9600,1960.7544807,1428.0457314,0,532.70874935,0
877828,39443.364355,0,0,0,23400,23400,23400,0,0,0,0,0,0,0,0,0,0,16043.364355,15600,0,15600,443.36435516,215.06712822,228.29722694,0,0
877841,31228.576342,24000,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7228.5763419,7200,0,7200,28.576341929,28.576341929,0,0,0
