nquest,nord,YL1,YL2,YTP1,YTP2,YTA1,YTA2,YTA31,YTA32,YL,YTP,YTA3,YTA,YT,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y,YMA1,YMA2
27509,1,0,0,7800,0,0,0,0,0,0,7800,0,0,7800,0,0,6000,6000,80.518911275,297.47252338,0,0,377.99143466,6377.9914347,14177.991435,0,0
27730,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10800,10800,85.450328192,0,527.8343885,0,613.28471669,11413.284717,11413.284717,0,0
27730,2,0,0,19110,0,0,0,0,0,0,19110,0,0,19110,0,0,0,0,0,0,0,0,0,0,19110,0,0
27730,4,15400,0,0,0,0,0,0,0,15400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15400,0,0
27734,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,3000,97.654663114,0,0,0,97.654663114,3097.6546631,3097.6546631,0,0
27734,2,0,0,15340,0,0,0,0,0,0,15340,0,0,15340,0,0,0,0,0,0,0,0,0,0,15340,0,0
27734,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14500,0,0,0,0,0,0,0,0,0,14500,0,14500
27739,1,0,0,4160,0,0,0,0,0,0,4160,0,0,4160,0,11400,4800,16200,245.74914703,0,409.64291365,0,655.39206069,16855.392061,21015.392061,0,0
27742,1,0,0,7865,0,0,0,0,0,0,7865,0,0,7865,0,0,9600,9600,128.22761879,0,0,0,128.22761879,9728.2276188,17593.227619,0,0
27742,2,7300,0,0,0,2400,0,0,0,7300,0,0,2400,2400,0,0,0,0,0,0,0,0,0,0,9700,0,0
27912,1,0,0,18200,0,0,0,0,0,0,18200,0,0,18200,0,0,4800,4800,272.70511858,0,0,0,272.70511858,5072.7051186,23272.705119,0,0
27912,2,0,0,0,0,4550,0,0,0,0,0,0,4550,4550,0,0,0,0,0,0,0,0,0,0,4550,0,0
27912,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,0,0,0,0,0,0,0,0,0,1400,1400,0
27923,1,0,0,15600,0,0,0,0,0,0,15600,0,0,15600,0,0,11900,11900,6.882148103,0,304.39630259,0,311.27845069,12211.278451,27811.278451,0,0
27923,4,0,0,0,0,490,0,0,0,0,0,0,490,490,0,0,0,0,0,0,0,0,0,0,490,0,0
27947,1,0,0,11570,0,480,0,0,0,0,11570,0,480,12050,0,0,6200,6200,32.690203489,0,0,0,32.690203489,6232.6902035,18282.690203,0,0
27947,2,0,0,7930,0,0,0,0,0,0,7930,0,0,7930,0,0,0,0,0,0,0,0,0,0,7930,0,0
28100,1,25000,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,3600,3600,0,0,0,0,0,3600,28600,0,0
28362,1,0,0,30875,0,0,0,0,0,0,30875,0,0,30875,0,0,7200,7200,8.6026851287,0,0,0,8.6026851287,7208.6026851,38083.602685,0,0
28441,1,0,0,19500,0,0,0,0,0,0,19500,0,0,19500,0,0,22800,22800,294.76084562,0,756.35824467,0,1051.1190903,23851.11909,43351.11909,0,0
28802,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,8250,8250,109.01519816,0,0,0,109.01519816,8359.0151982,58359.015198,50000,0
28802,2,28000,1200,0,0,0,0,0,0,29200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29200,0,0
28859,1,0,0,10400,0,0,0,0,0,0,10400,0,0,10400,0,0,10800,10800,40.251562902,0,0,0,40.251562902,10840.251563,21240.251563,0,0
28992,1,0,0,24310,0,0,0,0,0,0,24310,0,0,24310,0,0,18400,18400,245.17652617,152.1981513,0,0,397.37467746,18797.374677,43107.374677,0,0
29006,1,0,0,24050,0,0,0,0,0,0,24050,0,0,24050,0,0,4900,4900,246.86534261,0,425.21909416,0,672.08443677,5572.0844368,29622.084437,0,0
29006,2,0,0,8450,0,0,0,0,0,0,8450,0,0,8450,0,0,0,0,0,0,0,0,0,0,8450,0,0
