nquest,nord,INTPER,attivp,tuttanno,numadd,numdip,forgiu,etaimpresa,oretot,compfiss,dividut,quopro,partecip,mesilav
891877,1,1,1,1,1,0,7,10,70,,2000,99,15000,12
892800,1,1,1,1,10,10,1,18,40,24000,0,10,150000,12
893013,1,1,1,1,8,5,7,13,67,13000,0,13,9000,12
893391,2,1,1,1,7,5,7,21,40,20000,2000,50,35000,12
893897,1,1,1,1,3,0,7,4,38,0,13600,33,20000,12
894082,1,1,2,1,2,0,7,40,40,1000,0,35,10000,12
894082,3,1,1,1,2,0,7,40,40,10000,0,65,25000,12
894291,1,1,1,1,5,1,9,28,60,0,51673,40,92000,12
894346,2,1,1,1,4,2,6,13,48,4500,3800,50,95000,12
894559,1,1,1,1,3,0,3,10,50,0,40000,30,40000,12
894559,2,1,1,1,4,0,7,13,50,1000,5000,25,40000,12
894730,1,1,1,1,2,0,7,22,40,12500,9500,50,10000,12
894730,2,1,1,1,2,0,7,22,40,12500,9500,50,10000,12
895023,3,1,1,1,3,1,1,4,50,13000,1,40,35000,12
895026,3,3,1,1,2,2,1,7,44,5000,2500,50,5000,12
895377,4,3,1,1,2,0,9,4,48,12000,500,50,10000,12
895395,1,1,1,2,4,2,7,24,12,10000,5000,50,90000,8
895436,3,1,1,1,2,0,7,10,50,0,20000,50,50000,12
895654,1,1,1,1,4,3,9,23,65,21996,0,80,1000,12
896060,1,1,1,1,14,13,1,5,60,12000,8000,95,65000,12
896060,2,2,1,1,2,0,7,5,60,6000,8000,50,20000,12
896063,1,1,1,1,4,2,7,2,60,18000,12000,80,1000,12
896063,2,1,1,1,4,2,7,2,20,5000,5000,20,1000,12
896432,2,1,2,2,1,0,9,4,6,7000,5000,100,10000,6
896449,2,1,1,1,3,0,1,7,40,,1000,33,1000,12
896534,1,1,1,1,2,0,7,24,45,0,22000,50,500,12
896749,1,1,1,1,4,2,6,26,50,0,20000,35,20000,12
896903,1,1,1,3,2,0,1,9,20,0,2000,10,2000,
896903,2,1,1,1,2,0,1,9,40,0,15000,90,18000,12
897155,2,1,1,1,3,0,6,40,3,2000,0,30,100000,12
897829,1,1,1,1,6,4,1,44,50,21000,21000,50,25000,12
898009,2,1,1,1,9,7,1,9,40,20000,20000,50,150000,12
898218,2,1,1,1,3,0,1,17,40,0,14000,33,80000,12
898220,1,1,1,1,50,40,2,25,50,120000,100000,6,10000000,12
899235,1,1,2,1,3,0,6,14,10,0,20000,50,20000,12
899235,1,1,2,1,3,0,6,24,40,0,10000,50,50000,12
899239,2,1,1,1,1,0,1,19,35,12000,49000,100,20000,12
899500,5,1,1,1,30,0,9,4,50,15000,0,3,10000,12
899662,2,1,1,1,1,0,1,2,50,0,10000,100,30000,12
899748,1,1,1,1,3,2,7,40,50,10000,10000,49,50000,12
900696,2,1,1,1,2,0,7,30,40,50000,25000,50,30000,12
900757,1,1,1,1,2,0,7,40,40,22000,22000,50,20000,12
901403,2,1,1,1,1,0,9,30,20,0,5000,100,150000,12
901471,2,1,1,1,3,1,9,3,40,10000,8000,50,6000,12
901480,1,1,1,1,4,3,9,24,50,15000,4000,100,5000,12
901506,1,1,1,1,2,0,6,14,48,13000,3000,50,10000,12
901582,1,1,1,1,5,4,1,60,40,20000,5000,50,10000,12
903368,1,1,1,1,8,1,1,22,50,7200,0,1,4000,12
904116,2,1,1,1,8,4,7,29,40,10000,0,25,10000,12
904221,1,1,1,1,5,3,1,10,40,6000,8000,50,150000,12
904221,2,1,1,1,5,3,1,10,40,24000,30000,50,150000,12
905396,1,1,1,1,2,0,7,15,50,12000,9000,50,80000,12
905669,1,1,1,1,2,2,1,60,30,30000,30000,50,400000,12
905669,2,2,1,1,2,2,1,60,30,30000,30000,50,400000,12
906075,3,1,2,3,2,0,9,7,2,450,120010,20,1400,
906135,1,1,1,1,3,0,7,35,50,18000,18000,24,30000,12
906849,2,1,1,1,6,5,7,19,30,30000,10000,100,200000,12
907012,1,1,1,1,3,0,7,25,40,8500,25000,33,30000,12
907475,1,1,1,1,14,8,7,10,54,42000,0,20,50000,12
907715,2,1,1,1,2,2,7,1,40,18000,0,50,30000,12
908554,2,1,1,1,2,0,1,15,40,50000,25000,50,50000,12
908702,1,1,1,1,3,2,1,28,40,40000,0,90,10000,12
908729,1,1,2,1,3,0,1,2,10,0,4000,49,50000,12
909631,2,2,1,1,4,1,7,10,35,15000,0,40,50000,12
