nquest,Y,CN,CD1,CD2,CD,C,S
38106,60780.437592,57600,0,0,0,57600,3180.4375918
38112,51462.629543,48600,0,700,700,49300,2162.6295434
38135,16401.032322,12000,0,0,0,12000,4401.0323222
38255,25030.109398,18600,0,0,0,18600,6430.109398
38261,26493.560415,21000,0,0,0,21000,5493.5604154
38272,32482.136961,30200,0,0,0,30200,2282.136961
38316,93660.700594,49100,0,0,0,49100,44560.700594
38319,27481.834183,18000,0,1000,1000,19000,8481.8341828
38349,61605.139353,32400,0,0,0,32400,29205.139353
38554,21600,25440,0,0,0,25440,-3840
38800,28743.065135,22800,0,3800,3800,26600,2143.0651354
38877,27454.848332,21360,0,900,900,22260,5194.8483323
38885,38742.288775,18800,0,200,200,19000,19742.288775
38939,54643.013426,20600,0,0,0,20600,34043.013426
38940,37654.629536,28800,0,0,0,28800,8854.6295364
38957,23704.301343,22200,0,0,0,22200,1504.3013426
38979,20680.218796,20400,0,0,0,20400,280.2187959
38992,107853.71616,54000,0,0,0,54000,53853.716163
38995,33788.013426,30400,0,0,0,30400,3388.0134256
39056,50547.599648,31000,4920,0,4920,35920,14627.599648
39058,22943.013426,20400,0,0,0,20400,2543.0134256
39086,49103.112501,31200,0,0,0,31200,17903.112501
39095,45986.732728,32378.069097,0,0,0,32378.069097,13608.663631
39218,30782.85206,21600,0,0,0,21600,9182.8520603
39227,15073.518717,14400,0,0,0,14400,673.51871722
39284,77168.998789,39900,0,2000,2000,41900,35268.998789
39317,43255.932104,26400,0,0,0,26400,16855.932104
39318,109928.35127,30000,0,0,0,30000,79928.351272
39351,16250.860269,16200,0,0,0,16200,50.860268513
39488,32584.520138,24000,0,0,0,24000,8584.5201385
39491,47687.513426,26400,0,0,0,26400,21287.513426
39697,54954.007838,15600,0,0,0,15600,39354.007838
50052,7923.3609749,12144,0,0,0,12144,-4220.639025
50060,37086.026851,32400,0,1000,1000,33400,3686.0268513
50085,23708.602685,12372,0,0,0,12372,11336.602685
50135,28481.08778,31700,0,1200,1200,32900,-4418.91222
50150,28267.050897,18600,0,1200,1200,19800,8467.0508968
50231,21117.484709,18000,0,0,0,18000,3117.4847086
50232,12204.455276,11400,0,0,0,11400,804.45527645
51013,72229.040277,54000,0,800,800,54800,17429.040277
51351,51182.196418,28800,0,0,0,28800,22382.196418
51363,9024.8069125,7200,0,0,0,7200,1824.8069125
51444,34114.087518,17400,0,0,0,17400,16714.087518
51467,21820,20680,0,680,680,21360,460
51544,35294.659753,19200,0,400,400,19600,15694.659753
51733,34595.099749,23800,0,0,0,23800,10795.099749
51895,29779.316859,20400,0,590,590,20990,8789.3168593
52400,10296.666141,8520,0,0,0,8520,1776.6661415
52478,7200,23400,0,0,0,23400,-16200
52700,21660.293824,14400,0,0,0,14400,7260.2938241
52718,18165.133301,15100,0,0,0,15100,3065.133301
52736,17219.040277,16400,0,350,350,16750,469.04027693
53008,58951.711071,24600,0,0,0,24600,34351.711071
53028,7728.6259892,7200,0,0,0,7200,528.62598924
53086,24412.562078,14400,0,600,600,15000,9412.5620779
53108,50574.542874,38400,1200,50,1250,39650,10924.542874
53109,18766.247686,15200,0,0,0,15200,3566.2476856
53202,31617.893913,18600,0,0,0,18600,13017.893913
53234,43243.013426,25200,0,0,0,25200,18043.013426
53373,45160.218796,26400,0,0,0,26400,18760.218796
53380,33400,21600,0,0,0,21600,11800
53520,38500.810715,24000,0,0,0,24000,14500.810715
53549,62752.844714,27600,0,10000,10000,37600,25152.844714
53552,26180.656388,12876,0,0,0,12876,13304.656388
53564,106555.15194,81000,0,3000,3000,84000,22555.151938
53596,35225.808055,18000,0,0,0,18000,17225.808055
53666,22236.622757,15600,0,0,0,15600,6636.6227565
53741,21014.808055,18000,0,0,0,18000,3014.8080554
53871,17088.208563,18000,0,0,0,18000,-911.7914367
53997,37517.272498,25200,0,0,0,25200,12317.272498
54143,43626.161108,19200,0,0,0,19200,24426.161108
54279,27243.013426,20200,0,0,0,20200,7043.0134256
55094,43392.848501,25800,0,0,0,25800,17592.848501
55147,44088.20537,22600,0,0,0,22600,21488.20537
55209,15685.161611,19100,0,0,0,19100,-3414.838389
55308,11116.02188,10200,0,0,0,10200,916.02187959
55425,6089.0355923,7548,0,40,40,7588,-1498.964408
55430,31819.83802,24100,4000,0,4000,28100,3719.83802
55636,71979.897103,48900,0,2000,2000,50900,21079.897103
55774,32627.614146,25200,0,0,0,25200,7427.6141463
55799,34624.531835,21600,0,1000,1000,22600,12024.531835
56251,22530,21600,0,0,0,21600,930
56465,16902.987857,12400,0,30,30,12430,4472.9878574
56529,58944.107405,45800,0,0,0,45800,13144.107405
56563,26755.917453,16800,0,0,0,16800,9955.9174533
56572,15918.821481,13200,0,0,0,13200,2718.821481
56582,50666.809398,40600,0,0,0,40600,10066.809398
56603,50129.03376,30000,0,0,0,30000,20129.03376
56624,42304.450523,21600,0,0,0,21600,20704.450523
56658,53806.231968,18600,0,0,0,18600,35206.231968
56677,37980.134256,33600,0,0,0,33600,4380.1342564
56721,45053.64306,27800,0,0,0,27800,17253.64306
56761,82626.002137,42000,0,1000,1000,43000,39626.002137
56762,44513.530523,29800,0,0,0,29800,14713.530523
57027,27829.040277,26400,0,0,0,26400,1429.0402769
57042,14628.669813,12000,0,0,0,12000,2628.6698133
57043,19903.232222,16200,0,0,0,16200,3703.2322215
57086,35177.957163,28500,0,0,0,28500,6677.9571635
57138,71990.7833,50600,0,2500,2500,53100,18890.7833
57546,36619.253052,29400,0,0,0,29400,7219.2530523
57547,22127.424166,20400,0,0,0,20400,1727.4241662
57609,47724.772177,27600,0,0,0,27600,20124.772177
57621,52869.346985,25200,0,0,0,25200,27669.346985
57670,42737.91711,22800,0,0,0,22800,19937.91711
57779,37543.013426,36000,0,0,0,36000,1543.0134256
57911,83347.208809,58220,0,0,0,58220,25127.208809
57962,59047.163465,34310,0,0,0,34310,24737.163465
58053,61706.756724,33000,13000,4000,17000,50000,11706.756724
