nquest,nord,INTPER,casd,casv,mobd,mobv,disd,disv,liqd,liqv,aced,acev,ared,arev,aprd,aprv,acod,acov,ausd,ausv,aeld,aelv,aipd,aipv,borsad,borsav,rrd,rrv,rod,rov,alimd,alimv,altred,altrev
677287,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,7000
677897,4,1,2,0,2,0,1,2000,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
678052,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,300,2,0,2,0,2,0
680537,1,1,2,0,2,0,2,0,2,0,2,0,2,0,1,960,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
680537,2,1,2,0,2,0,2,0,2,0,2,0,1,1200,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
680732,2,1,1,4800,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
680938,4,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,100,2,0,2,0,2,0,2,0
680982,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,6600,2,0
681329,1,1,2,0,2,0,1,2000,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
681781,2,1,2,0,2,0,1,2000,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
682204,1,1,1,500,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
682298,1,1,2,0,2,0,2,0,2,0,2,0,2,0,1,2500,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
682359,3,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,650,2,0,1,200,2,0,2,0
682360,1,1,2,0,2,0,2,0,2,0,1,200,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
682363,2,2,2,0,2,0,1,1500,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
682408,3,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,200,2,0,2,0
682625,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,190,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
682732,3,3,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1000,2,0,1,500,2,0,2,0
682737,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,7700
683673,1,1,2,0,2,0,1,12000,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,2000,2,0,2,0
683673,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1500,2,0,2,0
684359,2,2,2,0,2,0,2,0,1,48000,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
684594,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,3000
684663,1,1,2,0,2,0,1,6500,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
684886,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,4800,2,0
685132,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,18000,2,0
685296,3,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,600,1,1600,2,0,2,0,2,0
685454,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,5160,2,0,2,0,2,0,2,0,2,0,2,0,2,0
685591,1,1,1,1800,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
686006,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,2000,2,0,2,0
686006,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,2000,2,0,2,0
686866,2,1,1,2100,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
687174,2,1,2,0,2,0,1,640,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
687248,1,1,1,1000,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
687322,2,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,500,2,0,2,0
687322,3,3,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1200,2,0,2,0
687987,1,1,1,2000,2,0,2,0,2,0,2,0,2,0,2,0,1,350,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
687988,1,1,1,3400,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
688009,1,1,1,3600,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
688159,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1500,2,0,2,0,2,0
688159,2,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1000,2,0,2,0,2,0
688287,4,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,2000,2,0,2,0,2,0,2,0
700037,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,300,2,0,2,0
700740,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1200,2,0,2,0
700740,4,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,600,2,0,2,0
700740,5,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,900,2,0,2,0
701579,1,1,2,0,2,0,2,0,2,0,1,20000,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
701647,1,1,2,0,2,0,2,0,2,0,1,450,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
704372,1,1,2,0,2,0,1,1500,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
705116,1,1,2,0,2,0,2,0,2,0,2,0,2,0,1,2400,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
707312,2,2,2,0,2,0,1,9000,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
709002,2,1,2,0,2,0,1,4800,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
711022,1,1,2,0,2,0,1,7000,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
713359,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,200,1,100,1,300,2,0
713837,2,1,1,1200,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
713844,1,1,2,0,2,0,2,0,2,0,1,500,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
714416,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,380,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
717312,6,1,2,0,2,0,2,0,2,0,1,400,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
717414,2,2,1,800,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
717900,4,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,2000,2,0,2,0,2,0
718832,2,2,1,2000,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
719613,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,6000,2,0,2,0,2,0
719656,3,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,500,2,0,2,0
719656,5,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1000,2,0,2,0
719666,1,1,2,0,2,0,1,7200,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,500,2,0,2,0
721871,3,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,300,2,0,2,0,2,0,2,0
722141,2,1,1,3000,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
722518,4,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,450,2,0,2,0,2,0,2,0
722608,2,1,2,0,2,0,1,2600,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
723207,1,1,2,0,2,0,1,1200,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
723207,2,1,2,0,2,0,1,2000,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
724132,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1200,2,0,1,2064,2,0
724132,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1000,1,2064,2,0
724132,3,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1000,1,2064,2,0
724523,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,300,2,0,2,0
