nquest,quest,nquestp,ncomp,vitgen,ngen,figli,nfigli,parnoit,anconv,stupcf,citpcf,stumcf,citmcf,stupco,citpco,stumco,citmco,contint,CAPI
892371,1,,1,2,,1,2,,,1,1,1,1,,,,,1,1
892374,1,,1,2,,2,,,,1,1,1,1,,,,,2,1
892378,1,,2,2,,2,,,,2,1,2,1,,,,,1,1
892379,1,,2,2,,2,,,1956,2,1,2,1,2,1,2,1,1,1
892383,1,,1,2,,2,,,,2,1,2,1,,,,,2,1
892384,1,,2,2,,2,,,2000,5,1,4,1,4,1,4,1,2,1
892387,1,,3,2,,2,,,,2,1,2,1,,,,,1,1
892388,1,,1,2,,2,,,,7,1,7,1,,,,,2,1
892390,1,,1,2,,1,2,,,1,1,1,1,,,,,1,1
892392,1,,1,1,1,2,,2,,3,1,3,1,,,,,1,0
892396,1,,2,2,,1,2,,,1,1,1,1,,,,,1,1
892399,1,,7,1,1,2,,,2000,2,1,2,1,2,1,2,1,1,1
892405,1,,3,2,,2,,,1970,2,1,2,1,2,1,2,1,2,1
892407,1,,1,2,,1,2,2,,2,1,2,1,,,,,1,1
892413,1,,1,2,,2,,2,,5,1,5,1,,,,,1,1
892415,1,,1,2,,1,1,,,2,1,2,1,,,,,1,1
892418,1,,1,2,,2,,,,1,1,1,1,,,,,1,1
892423,1,,1,2,,2,,,,2,1,2,1,,,,,2,1
892427,1,,1,2,,1,2,,,4,1,4,1,,,,,1,1
892428,1,,2,2,,1,2,,1957,2,1,2,1,2,1,2,1,1,1
892437,1,,2,2,,1,1,,1965,2,1,2,1,2,1,2,1,2,1
892439,1,,2,2,,1,2,,1965,7,1,7,1,7,1,7,1,1,1
892440,1,,2,2,,2,,,1969,4,1,4,1,4,1,4,1,1,1
892441,1,,1,2,,1,1,2,,2,1,1,1,,,,,3,1
892442,1,,2,2,,2,,,,2,1,2,1,,,,,1,1
892447,2,,1,2,,1,6,,,2,1,2,1,,,,,1,1
892449,2,,2,2,,1,1,,1969,2,1,2,1,2,1,2,1,1,1
892461,2,,1,2,,1,2,,,2,1,2,1,,,,,1,1
892462,2,,1,2,,2,,2,,4,1,4,1,,,,,2,1
892466,2,,2,2,,1,1,2,,4,1,4,1,,,,,2,1
892467,2,,2,1,4,1,1,,1984,2,1,2,1,2,1,2,1,1,1
892496,2,,1,2,,2,,1,,3,1,3,1,,,,,1,1
892502,2,,3,1,2,2,,,1980,3,1,3,1,3,1,3,1,1,1
892505,2,,1,2,,2,,2,,4,1,4,1,,,,,1,1
892524,2,,1,1,2,1,1,2,,3,2,3,2,,,,,1,1
892529,2,,3,1,4,1,1,,2010,3,1,3,1,3,1,3,1,1,1
892553,2,,1,1,2,1,1,,,1,2,1,2,,,,,1,1
892610,2,,2,1,4,2,,,1997,3,1,4,1,3,1,3,1,1,1
892627,2,,2,1,2,2,,2,,3,1,3,1,,,,,1,1
892640,2,,3,1,4,2,,,2014,4,1,3,1,3,1,3,1,1,1
892670,1,,1,2,,2,,2,,2,1,1,1,,,,,1,1
892673,1,,2,2,,2,,,2000,3,1,2,1,7,1,7,1,5,0
892676,1,,5,1,2,2,,,1993,2,1,2,,2,1,2,1,2,1
892684,2,,4,1,3,2,,,2002,4,1,4,1,3,1,3,1,3,0
892696,2,,8,2,,2,,,,1,2,1,2,,,,,1,0
892699,2,,2,2,,1,3,,1966,5,1,2,1,4,1,3,1,1,1
892701,2,,5,1,4,2,,,1997,4,1,2,1,3,1,7,1,1,0
892703,2,,1,2,,1,2,,,1,1,1,1,,,,,2,1
892710,2,,3,1,4,2,,,2008,3,1,2,1,2,1,2,1,2,1
892725,1,,1,2,,2,,2,,2,1,2,1,,,,,1,1
892727,1,,2,2,,1,2,,1961,3,1,1,1,2,1,2,1,1,1
892736,1,,3,2,,2,,,,1,1,1,1,,,,,1,1
892737,1,,1,2,,2,,,,2,1,2,1,,,,,1,1
892738,2,,1,2,,2,,2,,1,1,1,1,,,,,1,1
892739,2,,4,1,3,2,,,2005,2,2,2,2,2,1,2,1,2,1
892741,2,,2,2,,1,3,,1957,1,1,1,2,1,1,1,1,1,1
892745,2,,2,2,,2,,,1982,1,1,1,1,1,1,1,1,2,1
892746,2,,6,,,2,,2,,2,,3,,,,,,1,1
892750,2,,4,1,2,2,,,1994,2,1,2,1,2,1,2,1,1,1
892753,2,,6,2,,2,,,1995,1,1,1,1,1,1,1,1,1,1
892760,2,,1,2,,2,,2,,1,1,1,1,,,,,1,1
892767,2,,3,2,,2,,2,,3,1,2,1,,,,,1,1
892769,2,,1,2,,2,,2,,1,1,1,1,,,,,1,1
892773,1,,2,1,1,1,1,,1966,2,1,2,1,2,1,1,1,1,1
892784,2,,2,2,,1,2,,1966,2,1,2,1,4,1,3,1,2,1
892796,2,,3,2,,2,,2,,4,1,3,1,,,,,1,1
892800,2,,4,2,,2,,,2003,5,1,5,1,4,1,4,1,2,1
892817,2,,1,2,,1,2,1,,4,2,4,2,,,,,2,1
892832,2,,2,2,,2,,,1965,1,1,1,1,1,1,1,1,2,1
892833,2,,2,2,,2,,,1965,1,1,1,1,1,1,1,1,2,1
892837,2,,3,2,,2,,,1972,1,1,1,1,1,1,1,1,2,1
892838,2,,2,2,,2,,,1974,3,1,2,1,2,1,2,1,2,1
892841,2,,4,1,1,2,,,1985,1,1,1,1,3,1,2,1,3,1
892877,1,,1,2,,2,,2,,2,1,2,1,,,,,2,1
892881,1,,2,1,3,2,,,2012,3,1,3,1,3,1,3,1,1,1
892884,1,,2,2,,1,2,,,7,2,4,,,,,,1,1
892886,1,,2,2,,1,3,,1980,4,1,2,1,2,1,2,1,1,1
892887,1,,2,1,1,2,,2,,3,1,3,1,,,,,1,1
892889,2,,2,2,,2,,,1953,4,1,1,1,2,2,1,2,1,1
892890,2,,4,1,1,2,,,1992,2,1,2,1,2,1,2,1,2,1
892894,2,,4,1,1,1,1,2,,3,1,3,1,,,,,2,1
892895,2,,6,1,3,2,,,1985,2,1,3,1,2,1,2,1,1,1
892902,2,,4,1,4,2,,,2002,5,2,5,2,3,1,3,1,1,1
892909,2,,1,1,2,2,,2,,2,1,2,1,,,,,2,1
892911,2,,1,1,2,2,,2,,3,1,2,1,,,,,1,1
892917,2,,3,1,3,2,,,2007,3,1,3,1,3,1,3,1,2,1
892919,2,,3,1,1,2,,2,,1,1,2,1,,,,,2,1
892922,1,,1,2,,1,2,1,,2,2,2,2,,,,,1,1
892924,1,,2,2,,1,2,,1968,2,1,2,1,1,1,2,1,1,1
892925,1,,2,2,,1,1,,1982,2,1,2,1,2,1,2,1,1,1
892929,1,,1,2,,1,1,2,,3,1,2,1,,,,,1,1
892931,1,,1,2,,2,,2,,2,1,2,1,,,,,1,1
