nquest,nord,anmutuo41i,anmutuo42i,anmutuo43i,anmutuo44i,anmutuo45i,debgar41i_1,debgar42i_1,debgar43i_1,debgar44i_1,debgar45i_1,debgar41i_2,debgar42i_2,debgar43i_2,debgar44i_2,debgar45i_2,debgar41i_3,debgar42i_3,debgar43i_3,debgar44i_3,debgar45i_3,debgar41i_4,debgar42i_4,debgar43i_4,debgar44i_4,debgar45i_4,debm41i,debm42i,debm43i,debm44i,debm45i,debrf41i,debrf42i,debrf43i,debrf44i,debrf45i,mutuodu41i,mutuodu42i,mutuodu43i,mutuodu44i,mutuodu45i,mutuoin41i,mutuoin42i,mutuoin43i,mutuoin44i,mutuoin45i,nattivita_all_b21,nattivita_all_b22,nattivita_all_b23,nattivita_all_b24,nattivita_all_b25,taxdeb41i,taxdeb42i,taxdeb43i,taxdeb44i,taxdeb45i,tdebita41i,tdebita42i,tdebita43i,tdebita44i,tdebita45i,tmutuoab41i,tmutuoab42i,tmutuoab43i,tmutuoab44i,tmutuoab45i
681844,2,2010,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,15,,,,,200000,,,,,1,,,,,3.75,,,,,180000,,,,,14000,,,,
682812,1,2001,2014,,,,,,,,,1,,,,,,,,,,,1,,,,1,2,,,,2,2,,,,15,,,,,35000,5000,,,,1,1,,,,7,5,,,,2000,4750,,,,3700,230,,,
683377,1,2014,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,2,,,,,3,,,,,12688,,,,,1,,,,,7,,,,,8418,,,,,4269,,,,
683469,1,2014,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,2,,,,,20000,,,,,1,,,,,4.5,,,,,14000,,,,,6000,,,,
686006,1,2010,2013,2013,,,,,,,,,,,,,,,,,,1,1,1,,,1,2,2,,,2,2,2,,,10,,,,,40000,5000,7000,,,1,1,1,,,5,5,5,,,30000,2500,4000,,,5000,2000,4000,,
718600,1,2010,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,7,,,,,80000,,,,,1,,,,,3.5,,,,,20000,,,,,13000,,,,
720312,2,2013,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,1,,,,,,,,,,15000,,,,,1,,,,,4,,,,,7000,,,,,3600,,,,
731660,1,2003,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,20,,,,,90000,,,,,1,,,,,2.5,,,,,50000,,,,,6600,,,,
804880,1,2014,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,140000,,,,,1,,,,,11,,,,,60000,,,,,5000,,,,
807289,2,2013,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,2,,,,,2,,,,,15000,,,,,1,,,,,5,,,,,6000,,,,,6000,,,,
