nquest,nord,INTPER,attivp,partime,contratt,tuttanno,mesilav,dimaz,oretot,pstra,orestra,ylm,integ,ylnm
504483,3,3,1,1,1,1,12,5,40,2,,18000,2,0
504584,1,1,1,2,2,1,12,2,25,1,4,8000,2,0
504584,2,1,1,1,1,1,12,2,40,2,,13000,2,0
504821,2,1,1,1,1,1,12,4,40,2,,16000,2,0
504885,1,1,1,2,1,1,12,4,10,2,,1350,2,0
504921,1,1,1,1,1,1,12,7,40,2,,15000,2,0
504921,2,2,1,1,1,1,12,2,40,2,,15000,2,0
504956,1,1,1,1,2,2,6,5,40,2,,9000,2,0
505022,1,1,1,1,1,2,7,3,40,2,,8000,2,0
505228,2,1,1,1,1,1,12,2,36,2,,11000,2,0
505390,1,1,1,1,1,1,12,7,50,2,,42000,2,0
505390,2,1,1,1,1,1,12,7,50,2,,35000,2,0
505424,1,1,1,1,1,1,12,8,36,2,,24500,2,0
505424,2,1,1,2,1,1,12,2,25,2,,14000,2,0
505548,2,1,1,2,1,1,12,5,35,2,,13000,2,0
505566,1,1,1,2,1,1,12,1,4,2,,1400,2,0
505566,1,1,1,2,2,2,1,1,12,2,,350,2,0
505594,2,2,1,1,1,1,12,2,50,2,,14800,2,0
505672,3,1,1,1,1,1,12,5,40,2,,23000,1,1100
505768,1,1,1,2,2,2,3,7,24,2,,1800,2,0
505768,2,1,1,1,1,1,12,2,50,2,,26000,2,0
505806,2,2,1,1,1,1,12,2,50,2,,20000,2,0
505810,3,1,1,1,1,1,12,4,45,2,,22000,2,0
505818,2,2,1,1,1,1,12,7,40,2,,14000,2,0
505818,3,1,1,1,1,1,12,7,50,1,5,22000,2,0
505839,1,1,1,2,1,1,12,8,34,2,,18500,1,
505839,2,2,1,1,1,1,12,7,38,2,,15000,1,
505881,3,1,1,1,1,1,12,4,32,2,,17000,2,0
506107,1,1,1,1,1,1,12,8,36,2,,19000,2,0
506152,2,1,1,1,1,1,12,2,40,2,,16000,1,80
506385,3,1,1,1,1,1,12,8,36,2,,18000,2,0
506410,1,1,1,1,1,1,12,7,36,2,,15000,2,0
506410,2,1,1,1,1,1,12,8,36,2,,15000,2,0
506413,2,2,1,1,1,1,12,7,25,2,,15000,2,0
506458,1,1,1,1,1,1,12,8,36,1,4,27000,2,0
506458,2,1,1,1,1,1,12,8,30,2,,19000,2,0
506492,1,1,1,1,1,1,12,8,36,2,,20000,2,0
506492,2,1,1,2,1,1,12,4,30,2,,10000,2,0
506628,1,1,1,1,1,1,12,6,36,2,,18500,2,0
506628,2,1,1,1,1,1,12,8,40,2,,22000,2,0
506738,2,1,1,1,1,1,12,4,40,2,,28600,2,0
506798,2,1,1,1,1,2,7,2,40,2,,5500,2,0
507037,1,1,1,1,1,1,12,8,38,2,,21000,2,0
507037,2,1,1,1,1,1,12,8,40,2,,10000,2,0
507037,3,1,1,1,1,1,12,2,40,2,,6000,2,0
507081,1,1,1,1,1,1,12,8,36,1,2,22000,1,
507081,2,1,1,1,1,1,12,2,40,2,,10000,2,0
507081,4,1,1,1,1,1,12,2,40,1,3,10500,2,0
507147,2,2,1,1,1,1,12,8,36,2,,18000,2,0
507185,2,3,1,2,3,2,7,7,30,2,,6000,2,0
507185,3,3,1,2,2,2,9,5,37,2,,13000,1,1000
507185,4,3,1,2,1,1,12,7,30,1,5,12000,2,0
507282,1,1,1,2,1,1,12,2,30,2,,8000,2,0
507322,1,1,1,1,1,1,12,3,40,2,,20000,2,0
507322,2,2,1,1,1,1,12,7,36,2,,21000,2,0
507329,1,1,1,1,1,1,12,7,38,2,,21000,2,0
507329,2,1,1,1,1,1,12,7,38,2,,19000,2,0
507336,4,2,1,1,1,1,12,1,45,2,,13000,2,0
507444,1,1,1,1,1,2,8,1,40,1,2,9000,2,0
507541,1,1,1,1,1,1,12,6,42,2,,24000,2,0
507541,2,1,1,1,2,2,9,6,45,1,5,15000,2,0
507542,1,1,1,2,1,1,12,1,12,2,,6127,2,0
507544,1,1,1,1,1,1,12,8,36,2,,26000,1,500
507544,2,1,1,1,1,1,12,8,36,2,,23000,2,0
507552,2,2,1,2,2,2,5,4,24,2,,4500,2,0
507552,2,2,2,1,2,3,,8,36,2,,1500,2,0
507913,2,1,1,2,1,1,12,1,10,2,,3700,2,0
508861,3,1,1,1,1,1,12,7,40,1,2,16000,1,1100
509057,1,1,1,1,1,2,10,2,40,2,,11000,2,0
509057,3,2,1,1,1,1,12,2,40,2,,11000,2,0
509074,1,1,1,1,1,1,12,8,18,2,,18000,2,0
509074,2,1,1,1,1,1,12,1,38,2,,13000,2,0
509076,1,1,1,1,1,1,12,1,40,2,,16000,2,0
509366,1,1,1,1,1,1,12,8,36,2,,17000,1,1000
509550,1,1,1,1,1,1,12,8,36,2,,22000,2,0
509601,1,1,1,1,1,1,12,5,30,2,,24000,2,0
509689,1,1,1,1,1,1,12,8,40,2,,20800,2,0
509717,2,1,1,1,1,1,12,1,44,2,,7200,2,0
509889,1,1,1,1,1,1,12,2,40,2,,15000,2,0
