nquest,pubblico,conspub,mesiconspub,conspcome,vuoimpre,NOIMPRE1,NOIMPRE2,NOIMPRE3,NOIMPRE4,NOIMPRE5,NOIMPRE6,NOIMPRE7,NOIMPRE8,SIMPRE1,SIMPRE2,SIMPRE3,SIMPRE4,SIMPRE5,pubpriv,scelpub,motpa1,motpa2,motpa3,motpa4,motpa5,motpa6,motpa7,motpa8,lavpa,scelpriv,motpriv1,motpriv2,motpriv3,motpriv4,motpriv5,motpriv6,motpriv7,motpriv8,varred,varredb,motdim,varredf,varredfb,aspred,varreda,motaum,varredfa
29737,1,1,1,2,2,5,3,1,1,3,3,2,2,,,,,,2,2,4,2,2,2,1,5,5,1,,,,,,,,,,,2,,,2,,1,,,
29742,2,1,6,2,1,,,,,,,,,4,4,4,4,3,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
29798,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,4,4,4,2,2,4,2,,,2,,1,,,
29823,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
31092,2,2,,,2,4,3,4,3,3,3,4,3,,,,,,,,,,,,,,,,2,2,3,3,3,3,3,2,3,3,2,,,2,,1,,,
31093,,2,,,,,,,,,,,,2,4,4,4,2,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
31219,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
31220,,2,,,,,,,,,,,,1,5,5,1,4,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
31221,1,1,1,1,,,,,,,,,,,,,,,2,2,4,4,3,4,4,3,4,4,,,,,,,,,,,2,,,2,,2,,,
31246,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
31304,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,3,3,3,3,3,3,2,,,2,,2,,,
31448,1,2,,,,,,,,,,,,,,,,,1,2,5,5,2,3,2,3,3,3,,,,,,,,,,,2,,,2,,2,,,
31625,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
31652,1,1,1,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,2,,,3,4,2,,,
31665,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
31671,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,3,,,
31695,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
31724,2,2,,,2,5,4,2,2,2,2,4,4,,,,,,,,,,,,,,,,2,2,4,3,4,4,4,4,4,3,2,,,2,,1,,,
31757,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
31799,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
31860,1,1,1,1,2,5,1,1,4,4,4,2,4,,,,,,1,2,5,4,4,5,5,5,4,4,,,,,,,,,,,2,,,2,,1,,,
31912,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
32001,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
32034,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
32044,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,4,,,
32052,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,3,4,4,4,3,3,2,,,2,,1,,,
32057,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
32190,1,1,12,2,,,,,,,,,,,,,,,1,2,4,3,3,3,2,5,5,2,,,,,,,,,,,2,,,2,,1,,,
32209,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
32210,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
32288,,2,,,,,,,,,,,,2,5,4,4,2,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
32318,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
32320,1,1,18,2,2,5,1,2,4,4,4,4,4,,,,,,1,2,4,4,4,3,4,4,4,4,,,,,,,,,,,2,,,2,,2,,,
32470,1,1,12,1,,,,,,,,,,,,,,,2,2,5,5,5,5,5,5,5,5,,,,,,,,,,,2,,,2,,1,,,
32471,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
32524,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,5,2,2,4,3,5,5,2,,,1,,2,,,3
32556,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,3,3,3,4,2,5,4,2,,,2,,1,,,
32668,1,1,1,1,,,,,,,,,,,,,,,2,2,4,4,4,4,4,4,4,4,,,,,,,,,,,2,,,2,,2,,,
32703,1,1,2,1,,,,,,,,,,,,,,,2,2,4,4,3,4,3,4,3,3,,,,,,,,,,,2,,,2,,2,,,
32709,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
32729,,2,,,,,,,,,,,,2,4,4,1,1,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
32733,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,4,,,
32734,2,2,,,2,4,5,1,1,4,1,1,3,,,,,,,,,,,,,,,,2,2,5,5,3,4,5,2,1,1,3,5000,8,2,,2,,,
32742,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,4,4,1,4,2,1,2,2,,,2,,1,,,
32751,1,1,1,1,,,,,,,,,,,,,,,1,2,3,4,4,4,4,4,4,4,,,,,,,,,,,2,,,2,,1,,,
32765,1,1,4,2,2,5,5,1,1,1,1,1,1,,,,,,1,2,5,5,5,4,4,4,4,4,,,,,,,,,,,2,,,2,,2,,,
32772,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
32810,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
32822,1,1,12,1,,,,,,,,,,,,,,,2,2,4,4,3,4,3,4,4,3,,,,,,,,,,,2,,,4,,4,,,
32839,1,1,5,2,,,,,,,,,,,,,,,1,2,5,4,2,5,2,2,2,2,,,,,,,,,,,2,,,2,,3,,,
32861,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
32887,,2,,,,,,,,,,,,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,2,,,3,20,1,,,
32987,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
33036,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,4,,,
33038,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4000,6,2,,1,,,
33275,1,2,,,,,,,,,,,,,,,,,2,2,4,3,1,5,5,4,4,4,,,,,,,,,,,2,,,2,,1,,,
33303,1,1,6,1,,,,,,,,,,,,,,,1,2,5,5,4,5,4,3,3,3,,,,,,,,,,,2,,,2,,2,,,
33335,1,1,3,1,2,5,5,2,2,3,3,3,2,,,,,,1,2,5,5,2,5,4,3,4,3,,,,,,,,,,,2,,,2,,1,,,
33336,,2,,,,,,,,,,,,5,5,3,3,1,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
33348,1,1,6,2,,,,,,,,,,,,,,,1,2,5,5,4,4,4,5,3,4,,,,,,,,,,,3,1000,7,2,,1,,,
33451,2,2,,,2,4,4,4,4,4,4,4,3,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
33455,1,2,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
33479,1,1,10,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,2,,,2,,4,,,
33644,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,3,300,6,3,15,2,,,
33751,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
33761,1,2,,,,,,,,,,,,,,,,,2,2,5,5,5,4,3,5,5,4,,,,,,,,,,,2,,,2,,2,,,
33773,1,2,,,2,5,4,4,4,4,4,2,1,,,,,,2,2,5,5,4,4,4,4,4,3,,,,,,,,,,,2,,,2,,2,,,
33823,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
33839,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
33877,2,2,,,2,3,5,3,4,3,3,4,3,,,,,,,,,,,,,,,,2,2,3,4,3,4,3,3,4,3,2,,,3,20,1,,,
33882,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
33937,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
33983,2,1,5,2,2,5,4,2,2,1,1,5,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,2,,,2,,1,,,
33985,,2,,,1,,,,,,,,,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,3,80000,1,1,,3,,,50
33994,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,1,,1,,,5
34059,1,1,2,1,,,,,,,,,,,,,,,2,2,4,4,4,4,2,2,2,3,,,,,,,,,,,2,,,2,,1,,,
34252,1,2,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
34396,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4000,7,3,20,1,,,
34732,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,70,4,,,
34778,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
34793,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,,4,,,
34825,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20000,8,1,,2,,,40
34900,2,2,,,2,2,4,3,3,4,3,4,3,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
35005,1,2,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
35022,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7000,1,2,,1,,,
35032,1,1,6,2,2,3,3,4,4,4,3,3,4,,,,,,1,2,5,3,3,3,3,3,3,3,,,,,,,,,,,1,,,2,,1,19000,1,
35234,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,4,4,5,3,3,4,2,,,2,,2,,,
35319,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
35322,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
35323,,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
35326,1,2,,,,,,,,,,,,,,,,,2,2,4,4,4,4,4,4,4,4,,,,,,,,,,,2,,,2,,2,,,
35340,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
35349,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
35355,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
35370,1,2,,,,,,,,,,,,,,,,,1,2,4,4,4,4,4,4,4,4,,,,,,,,,,,2,,,2,,2,,,
35372,1,1,5,1,2,4,4,4,4,4,4,4,4,,,,,,2,2,4,4,4,4,4,4,4,4,,,,,,,,,,,2,,,2,,2,,,
35374,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
35379,1,2,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
35502,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2000,1,2,,1,,,
35507,1,2,,,2,4,5,3,5,5,5,5,3,,,,,,2,2,5,2,2,2,2,5,5,4,,,,,,,,,,,2,,,2,,2,,,
35508,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15000,8,2,,1,,,
35518,1,1,6,1,,,,,,,,,,,,,,,2,2,4,4,3,4,4,4,5,4,,,,,,,,,,,2,,,2,,2,,,
35600,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
35640,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,5,5,5,5,5,5,2,,,2,,2,,,
35682,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,2,3,3,3,2,3,3,2500,1,3,15,1,,,
35788,1,1,2,2,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,3,500,5,2,,1,,,
35968,1,1,12,2,,,,,,,,,,,,,,,2,2,4,4,3,5,4,4,4,3,,,,,,,,,,,2,,,2,,1,,,
36067,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
36130,2,2,,,2,4,5,2,4,2,2,2,1,,,,,,,,,,,,,,,,2,2,4,5,4,5,4,3,3,3,2,,,2,,2,,,
36148,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
