nquest,anabit,godabit,unipro,anposs,poss,impacq,tfitto,tipoaff,dfittom,propriet,tfitimp,ritaff,supab,ancostr,bagni,valabit,antic,anticipi,fittonop,tfittonop,tfittom,pro1,pro2,pro3,pro4,pro5,pro6,pro7,pro8,pro9,altrab,naltrab,altrfab,naltrfab,teragr,nteragr,ternagr,nternagr,manstra,tmanstra,manstr2,tmanstr2,debita1,ndebita1,debita2,ndebita2,debitc,ndebitc,debitd,ndebitd,debite,ndebite,debitf,chifinmut,chifincons,ritardo,mutuor,fmutrif,mutuoe,mutuor3,mutuoric,mutuoric3,varric,varricb,motvarricb,varricf,varricfb,eredona,erequant,eredonc,intpersezd,docsezd,mutuorif,reapmut,varrica,motvarrica,varricfa,ndebitf,debitg,ndebitg,credit,tcredit,debit,tdebit,mutuoe3,tipota1,tipota2,tipota3,tipota4,tipota5,tipota6,tipota7,tipota8,era1,era2,era3,era4,era5,era6,era7,era8,dagena1,dagena2,dagena3,dagena4,dagena5,dagena6,dagena7,dagena8,annota1,annota2,annota3,annota4,annota5,annota6,annota7,annota8,valta1,valta2,valta3,valta4,valta5,valta6,valta7,valta8,VARVALABIT,QUOPRO
24382,1992,1,1,1992,4,,,,,,100,,55,1925,1,60000,2,,,,,1,1,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,3,10,1,3,10,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100
24393,1963,1,1,1963,2,1000,,,,,400,,80,1963,1,200000,2,,,,,1,,,,,,,,,2,,2,,2,,2,,1,800,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
24616,2004,5,,,,,,,,2,350,,45,2000,1,70000,2,,,,,,,,,,,,,,2,,2,,2,,2,,1,400,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
24760,1953,1,1,1980,2,95000,,,,,350,,75,1952,1,130000,2,,,,,1,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,4,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
24764,1989,1,1,1994,4,,,,,,500,,80,1950,1,150000,2,,,,,0,1,0,0,0,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
24809,1992,1,1,1992,1,150000,,,,,650,,118,1968,1,350000,2,,,,,1,0,,,,,,,,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
24853,1991,1,1,1991,2,70000,,,,,600,,80,1991,1,250000,2,,,,,1,0,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
25007,1988,1,1,1988,7,50000,,,,,400,,140,1988,2,250000,2,,,,,1,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,1,3000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
25930,1973,1,1,1973,7,4000,,,,,500,,108,1973,1,150000,2,,,,,1,1,,,,,,,,2,,2,,2,,2,,1,250,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,1,2,1,2,,,,,,,2,,2,,2,,,4,,,,,,,,1,,,,,,,,1,,,,,,,,1998,,,,,,,,8000,,,,,,,,2,100
26048,1972,2,,,,,550,1,2,4,,2,80,1969,1,300000,2,,,,,,,,,,,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,,,2,,,2,2,2,1,,,3,5,2,,2,1,2,,,5,1,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
