nquest,nord,INTPER,entepen,tipopen,decor,tpens,mesipen,arret,quotape,tarret
35234,2,1,6,1,2003,150,12,2,70,0
35319,1,1,1,2,1997,500,13,2,,0
35319,1,1,1,5,2007,500,13,2,,0
35322,1,1,1,1,1989,720,13,2,80,0
35322,2,2,1,2,1997,200,13,2,,0
35323,1,1,1,1,1992,900,13,2,100,0
35323,2,2,1,2,2003,240,13,2,,0
35326,1,1,1,1,2005,1300,13,2,70,0
35326,2,1,1,1,1995,1400,13,2,95,0
35340,1,1,1,5,2009,520,13,2,,0
35349,1,1,6,1,1990,1350,13,2,90,0
35355,1,1,1,5,1998,650,13,2,,0
35370,1,1,1,1,1992,650,13,2,70,0
35372,2,1,1,1,2011,1200,13,2,80,0
35372,3,1,1,3,1980,450,13,2,,0
35374,1,1,1,1,2010,850,13,2,70,0
35374,2,1,2,1,2010,1300,13,2,80,0
35379,1,1,1,1,2006,1400,13,2,70,0
35507,2,1,1,1,1993,1500,13,2,90,0
35508,1,1,1,5,2014,500,4,2,,0
35518,1,1,1,1,1998,600,13,2,70,0
35518,1,1,2,5,2009,1200,12,2,,0
35600,1,1,1,1,1986,950,13,2,80,0
35640,1,1,1,1,2000,1300,13,2,80,0
35640,2,2,1,1,1991,1150,13,2,80,0
35682,1,1,1,1,2006,1200,13,2,90,0
35788,1,1,1,1,2011,1370,13,2,80,0
35968,1,1,1,1,1989,1100,13,2,90,0
35968,1,1,1,5,1996,450,12,2,,0
36067,1,1,4,3,1993,1600,12,2,,0
36148,1,1,1,5,2013,625,13,2,,0
36186,1,1,1,5,1991,280,13,2,,0
36321,1,1,1,1,2007,1850,13,2,90,0
36321,3,1,1,3,2000,350,13,2,,0
36321,3,1,1,4,2000,700,13,2,,0
36378,1,1,1,1,2006,1240,13,2,70,0
36378,2,2,1,1,2012,700,13,2,70,0
36403,1,1,1,1,2001,1100,13,2,70,0
36409,2,1,1,1,2014,1200,13,2,70,0
36443,1,1,1,1,2011,1200,13,2,70,0
36450,1,1,1,1,2010,1570,13,2,70,0
36524,2,1,1,1,2006,2000,13,2,80,0
36524,3,1,1,1,1995,1500,13,2,80,0
36697,1,1,1,5,1991,270,13,2,,0
36774,1,1,1,1,2010,487,13,2,50,0
36893,1,1,2,1,2012,1400,13,2,70,0
37001,2,1,1,1,1996,2100,13,2,90,0
37011,1,1,1,1,2004,1700,13,2,70,0
37011,2,1,1,1,2009,1490,13,2,70,0
37042,2,2,1,1,2006,1950,13,2,73,0
37521,1,1,2,1,2007,1700,13,2,100,0
37665,3,3,1,2,1994,600,13,2,,0
37677,1,1,1,1,1996,2100,13,2,80,0
37721,1,1,1,1,1995,1100,13,2,90,0
37721,1,1,6,3,1970,121,12,2,,0
37721,2,2,1,1,1999,700,13,2,70,0
37810,1,1,1,1,2010,500,13,2,50,0
38014,2,1,1,1,2010,1800,13,2,90,0
38106,1,1,1,1,1998,1820,13,2,90,0
38106,2,1,1,1,1995,500,13,2,50,0
38106,2,1,1,4,2012,500,13,2,,0
38261,1,1,1,1,1994,1350,13,2,90,0
38261,2,1,1,4,2005,350,13,2,,0
38272,1,1,2,1,2002,1400,13,2,80,0
38349,1,1,1,1,1999,1900,13,2,90,0
38349,2,1,1,3,2005,300,13,2,,0
38800,1,1,2,1,1990,1500,13,2,80,0
38877,1,1,1,1,2010,1850,13,2,80,0
38877,2,1,1,4,2008,250,13,2,,0
38885,1,1,1,1,1996,1350,13,2,100,0
38885,2,2,1,1,2013,620,13,2,50,0
38939,1,1,1,5,2012,1000,13,2,,0
38940,1,1,1,1,1998,1020,13,2,80,0
38940,2,1,2,1,2005,1500,13,2,90,0
38957,1,1,1,1,1985,1500,13,2,80,0
38979,1,1,1,1,2003,530,13,2,70,0
38979,1,1,1,5,1999,410,13,2,,0
38992,1,1,2,1,1993,1000,13,2,40,0
38992,2,1,1,1,2007,3200,13,2,80,0
38995,1,1,2,1,2009,1800,13,2,80,0
39058,2,1,1,1,2004,1300,13,2,80,0
39086,1,1,1,1,2002,768,13,2,50,0
39086,2,1,2,1,2000,1600,13,2,90,0
39218,1,1,1,1,2001,1900,13,2,100,0
39227,1,1,1,1,1992,500,13,2,40,0
39227,1,1,1,5,2007,280,13,2,,0
39284,1,1,1,1,1992,1670,13,2,100,0
39284,2,1,1,1,1988,1560,13,2,100,0
39351,1,1,1,1,2003,600,13,2,60,0
39351,2,2,1,1,1985,650,13,2,60,0
39488,1,1,2,1,2007,1190,13,2,80,0
39488,2,1,1,1,1979,400,13,2,70,0
39488,2,1,1,5,2002,450,13,2,,0
39491,1,1,2,1,1997,1600,13,2,90,0
39491,2,1,2,1,1993,1200,13,2,85,0
39697,1,1,3,1,2007,2100,13,2,80,0
50052,1,1,1,1,1995,638,13,2,60,0
50060,1,1,2,1,2012,2200,13,2,90,0
50085,1,1,1,1,1999,900,13,2,70,0
50135,1,1,1,5,2011,1030,13,2,,0
50231,1,1,1,1,1998,700,13,2,70,0
50232,1,1,1,1,1972,800,13,2,80,0
51013,1,1,2,1,2013,1900,13,1,80,3000
51013,2,1,2,1,2011,1800,13,2,80,0
51351,3,3,1,1,1980,700,13,2,70,0
51351,4,1,1,1,1985,700,13,2,70,0
51363,1,,1,5,2010,600,13,2,,0
51444,1,1,2,1,2002,1100,13,2,85,0
51444,2,2,1,1,2008,900,13,2,80,0
51467,1,1,1,1,1992,720,13,2,80,0
51467,2,2,1,1,1991,420,13,2,70,0
51544,1,1,1,1,2010,930,13,2,70,0
51544,2,2,1,1,2003,430,13,2,60,0
51733,1,1,1,1,2006,850,12,2,50,0
51733,2,1,1,1,2000,520,12,2,70,0
51895,1,1,1,1,1995,1100,13,2,80,0
51895,2,2,1,1,1998,510,13,2,70,0
52400,1,1,1,1,2007,600,13,2,100,0
52400,1,1,1,4,2014,200,12,2,,0
52700,1,1,1,5,2014,920,13,2,,0
52718,1,1,1,5,1989,600,13,2,,0
52736,2,1,1,1,1987,650,13,2,50,0
52736,3,1,1,4,1997,280,13,2,,0
53028,1,1,1,4,2000,500,13,2,,0
53108,1,1,1,1,2006,1500,13,2,80,0
53109,1,1,1,2,1994,400,13,2,,0
53109,1,1,1,5,1999,470,13,2,,0
53202,1,1,1,1,2006,1100,13,2,80,0
53202,2,2,1,1,2013,900,13,2,80,0
53234,1,1,1,1,2001,1100,13,2,50,0
53234,2,1,1,1,2003,1100,13,2,60,0
53373,2,1,1,1,2005,1700,13,2,80,0
53380,1,1,1,1,1997,600,13,2,80,0
53380,1,1,1,5,1974,500,13,2,,0
53520,1,1,1,1,2007,1500,13,2,100,0
53520,1,1,3,3,1973,1080,13,2,,0
53549,1,1,1,1,1995,1400,13,2,120,0
53549,2,2,1,1,2004,1100,13,2,80,0
53564,1,1,1,1,1990,3000,13,2,80,0
53564,2,1,1,1,1995,500,13,2,60,0
53741,1,1,1,1,1983,250,13,2,50,0
53741,1,1,1,5,1990,903,13,2,,0
53997,1,1,1,1,1980,1395,13,2,80,0
53997,1,1,1,5,2013,550,13,2,,0
54143,1,1,1,1,1991,570,13,2,50,0
54143,2,2,1,1,1987,1680,13,2,80,0
54143,3,1,1,2,2010,250,13,2,,0
54143,3,1,1,2,2010,470,13,2,,0
55094,1,1,1,1,2010,1270,13,2,100,0
55147,1,1,1,1,2005,417,13,2,70,0
55147,2,1,1,1,2001,1250,13,2,80,0
55209,1,1,1,1,1967,450,13,2,50,0
55209,1,1,1,5,2007,270,13,2,,0
55308,1,1,1,5,2012,670,13,2,,0
55430,2,1,1,1,1995,1308,13,2,90,0
55430,2,1,1,5,1995,645,13,2,,0
55636,5,2,1,5,1971,1000,13,2,,0
55774,1,1,1,5,1995,800,13,2,,0
56251,1,1,1,5,1986,610,13,2,,0
56465,1,1,1,1,2010,900,13,2,30,0
56529,1,1,1,1,2010,800,13,2,50,0
56529,1,1,1,4,2007,500,12,2,,0
56563,1,1,1,1,2004,800,13,2,80,0
56563,2,2,1,1,2009,500,13,2,70,0
56572,1,1,1,1,2002,450,13,2,50,0
56572,1,1,1,5,2010,400,13,2,,0
56582,2,1,1,1,2012,1250,13,2,80,0
56624,1,1,2,1,2011,1500,13,2,80,0
56624,2,2,2,1,2004,1200,13,2,79,0
56658,1,1,1,4,2000,1282,13,2,,0
56658,2,2,1,4,1977,1800,13,2,,0
56677,1,1,1,1,1985,200,13,2,20,0
56677,1,1,2,1,1981,850,13,2,60,0
56677,2,1,2,1,1981,1100,13,2,80,0
56721,2,2,1,1,2008,1200,13,2,100,0
56721,4,1,1,5,1996,600,13,2,,0
56761,2,1,1,1,1991,1500,13,2,90,0
56761,3,1,1,4,1985,500,13,2,,0
56762,1,1,1,1,1992,1170,13,2,70,0
56762,1,1,4,3,1971,400,12,2,,0
57042,1,1,1,1,2010,785,13,2,65,0
57138,1,1,1,1,2007,1450,13,2,95,0
57138,2,1,1,1,2013,1400,13,2,80,0
57547,1,1,1,1,2004,1050,13,2,70,0
57609,1,1,1,1,2003,1270,13,2,70,0
57609,2,2,1,1,1991,890,13,2,60,0
57621,2,1,1,1,2002,1200,13,2,70,0
57779,2,1,1,1,2007,1500,13,2,80,0
58053,2,1,1,1,1990,950,13,2,80,0
58053,2,1,1,5,1975,450,13,2,,0
58366,1,1,2,1,2006,1850,13,2,85,0
60078,1,1,1,3,2004,780,13,2,,0
111052,1,1,2,1,2006,835,13,2,60,0
111052,2,2,1,1,1996,1230,13,2,70,0
138399,1,1,1,1,2000,1069,13,2,65,0
138399,1,1,2,5,2011,957,13,2,,0
176061,1,1,1,1,1985,500,13,2,80,0
176061,2,2,1,1,1990,500,13,2,70,0
