nquest,nord,sex,parent,anasc,cit,aningr,staciv,studio,tipolau,VOTOEDU,SUEDU,annoedu,tipodip,univer,selode,motiv,apqual,asnonoc,nace,nordp,motent,annoenus,NASCREG,NASCAREA,ireg,NCOMP,ETA,CLETA5,QUAL,Q,SETT,PERC,NPERC,CFRED,AREA3,AREA5,ACOM4C,PESOFIT,ISCO
893435,2,1,2,1956,1,,1,3,,,,,,,,,16,,,,,,9,2,9,3,58,4,6,3,5,1,2,1,2,3,2,0.4581755328,
893435,3,2,6,1998,1,,2,3,,,,,,,,,17,,,,,,9,2,9,3,16,1,7,3,5,0,2,0,2,3,2,0.4581755328,
893439,1,2,1,1940,1,,4,5,,9,10,1959,2,2,0,,8,,7,,,,9,2,9,1,74,5,5,2,4,1,1,1,2,3,2,0.4930844573,1.3
893444,1,2,1,1951,1,,4,2,,,,,,,,,16,,,,,,9,2,9,1,63,4,6,3,5,1,1,1,2,3,2,0.4616938451,
893445,1,1,1,1945,1,,1,7,6,103,110,1972,2,,0,,15,5,11,,,,9,2,9,2,69,5,6,3,5,1,1,1,2,3,2,0.4575131965,
893445,2,2,2,1955,1,,1,5,,50,60,1974,2,1,0,,13,,,,,,9,2,9,2,59,4,7,3,5,0,1,0,2,3,2,0.4575131965,
893449,1,2,1,1955,1,,1,5,,38,60,1974,1,2,0,,13,,,,,,9,2,9,4,59,4,7,3,5,0,1,0,2,3,2,0.6210169419,
893449,2,1,2,1947,1,,1,2,,,,,,,,,8,,7,,,,9,2,9,4,67,5,5,2,4,1,1,1,2,3,2,0.6210169419,1.3
893449,3,1,6,1979,1,,2,3,,,,,,,,,12,1,7,,,,9,2,9,4,35,2,7,3,5,0,1,0,2,3,2,0.6210169419,
893449,4,2,4,1929,1,,4,2,,,,,,,,,13,,,,,,9,2,9,4,85,5,7,3,5,0,1,0,2,3,2,0.6210169419,
893459,1,1,1,1940,1,,1,5,,8,10,1969,2,2,0,,15,2,3,,,,7,1,9,2,74,5,6,3,5,1,1,1,2,3,2,0.4726113261,
893459,2,2,2,1947,1,,1,5,,7,10,1966,5,2,0,,13,,,,,,7,1,9,2,67,5,7,3,5,0,1,0,2,3,2,0.4726113261,
893462,1,2,1,1936,1,,4,2,,,,,,,,,16,,,,,,9,2,9,2,78,5,6,3,5,1,2,0,2,3,2,0.4726113261,
893462,2,1,3,1934,1,,4,2,,,,,,,,,15,1,8,,,,9,2,9,2,80,5,6,3,5,1,2,1,2,3,2,0.4726113261,
893466,1,1,1,1978,1,,2,7,4,108,110,2006,2,,0,,4,,9,,,,9,2,9,1,36,2,3,1,4,1,1,1,2,3,2,1.214521523,
893472,1,2,1,1931,1,,2,1,,,,,,,,,16,,,,,,15,3,15,1,83,5,6,3,5,1,1,1,3,4,2,0.2509015571,
893473,1,1,1,1953,1,,1,5,,48,60,1974,1,2,0,,2,,13,,,,15,3,15,4,61,4,2,1,4,1,2,1,3,4,2,0.3642305416,
893473,2,2,2,1959,1,,1,5,,46,60,1984,3,2,0,,3,,16,,,,15,3,15,4,55,4,2,1,3,1,2,0,3,4,2,0.3642305416,2.6
893473,3,2,6,1982,1,,2,7,6,99,110,2013,3,,0,,11,,,,,,15,3,15,4,32,1,7,3,5,0,2,0,3,4,2,0.3642305416,
893473,4,1,6,1986,1,,2,7,8,98,110,2014,3,,0,,11,,,,,,15,3,15,4,28,1,7,3,5,0,2,0,3,4,2,0.3642305416,
