nquest,Y
39317,17800.0
39318,39417.870433
39351,16900.0
39488,33929.903137
39491,56099.837177
39697,57844.85031
50052,8844.9021275
50060,34646.077713
50085,10403.665282
50231,24100.0
50232,12800.0
51013,64754.201199
51363,14486.652815
51444,37837.298753
51467,21114.661126
51544,25249.222729
51733,37021.094684
51895,40578.892002
52700,12416.185596
52718,14204.070124
52736,21273.183821
53008,61144.831235
53028,16224.668616
53086,34029.875337
53109,22588.539431
53202,28246.481579
53234,49019.220249
53373,41804.740186
53380,30900.0
53520,48081.73505
53549,39108.201745
53552,21913.623727
53564,66408.044679
53596,35406.652815
53871,29610.907853
53997,72608.284853
54143,47249.77714
55147,28769.798434
55308,14426.927299
55425,5011.1709219
55430,28407.330563
55636,65435.521454
55774,30650.0
56251,26000.0
56465,25354.03181
56563,20829.034064
56582,45115.975067
56603,42000.0
56624,42459.330563
56658,56534.70857
56677,33827.489611
56721,40698.557329
56761,64825.656971
56762,38909.958446
57027,22612.453992
57042,14400.0
57138,43122.156386
57546,27880.636194
57547,39949.322252
57621,57352.981063
57670,21712.432726
57779,30021.991689
57962,21563.780743
58366,34303.665282
60078,14170.995845
91067,23943.665282
91071,46112.451726
91074,23306.438713
91079,33674.878412
91081,40361.995593
91095,53309.741704
111052,28723.0
138399,31688.178195
145007,37014.661126
178001,16652.828485
193016,8900.0
213440,30610.385097
224048,10540.0
230029,27684.610025
230037,34900.0
237003,70331.409498
243067,68605.330989
244013,27493.652815
244058,18607.330563
250005,18348.0
250010,6600.0
250039,8400.0
256015,11601.349033
279054,19105.12047
282083,10218.0
282089,19915.908525
284086,24660.0
310002,16516.493767
310005,9563.6486598
321009,27375.929159
330057,23243.561542
332080,18928.326408
333081,49582.985906
355063,9106.0174627
365034,18003.665282
387029,42217.94
389084,16500.989626
500001,19119.205847
500004,16510.662435
500026,38676.875943
500090,23050.0
500176,16907.330563
500669,32805.480791
500674,40134.508302
500726,49316.585618
501068,14870.743539
501082,30809.958446
501627,20374.876481
501694,28612.231194
501816,34018.326408
501874,40818.844644
502060,8706.2512968
502355,46512.586328
502364,23583.952637
502772,25191.804509
503560,38967.915547
503561,52025.598472
503593,25892.394881
503674,110569.2892
503788,30566.720197
503931,80027.124839
503950,30324.122058
503981,30514.605769
504091,21714.661126
504157,28842.208016
504363,15601.940449
504380,19313.82433
504395,52835.20644
504453,41223.82433
504551,17802.932225
504584,14401.273561
504730,25163.30563
504792,43841.087532
504821,107678.72724
504885,6506.5975067
504889,58222.430667
504921,31954.975604
504937,20600.0
505022,19650.0
505167,27710.139572
505228,60536.582775
505243,53482.702213
505390,107872.26174
505407,18494.661126
505424,40617.390882
505517,35184.071151
505525,135930.50929
505534,31386.294963
505540,18539.754859
505576,23057.607106
505594,28831.077801
505606,44921.058801
505655,64758.285568
505672,39423.241672
505681,14144.931102
505768,40331.766456
505771,49544.650466
505806,32207.330563
505810,121608.65154
505818,158800.32809
505839,37874.96123
506025,45936.833749
506100,9237.330563
506107,32050.366528
506112,20350.995845
506152,34708.326408
506195,21958.326408
506385,56333.871225
506396,39720.168425
506402,16560.652815
506410,49534.820174
506413,49546.348783
506418,20333.64866
506446,40704.979223
506458,52688.999401
506492,31652.623325
506565,71598.644504
506613,11400.0
506628,101366.56971
506736,58566.297069
506738,36401.985647
506758,51803.394051
506767,56863.779674
506798,31467.671635
506799,47547.376513
507037,44057.773618
507157,11662.932225
507182,27215.338728
507282,55751.010331
507303,38455.638478
507316,33361.251054
507319,17935.311481
507329,64105.386768
507336,43702.775367
507360,34669.058912
507419,95239.201745
507444,21392.932225
507541,49243.983378
507542,21136.313941
507544,54585.159315
507552,35778.017687
507557,22840.318097
507640,38507.448057
507644,18765.614643
507728,26080.211504
507823,36440.665282
507863,25447.264076
507905,58943.983378
507908,24923.30563
507913,12802.330563
507924,17818.326408
508305,13019.362049
508861,37875.142959
509054,18295.406965
509057,34965.520579
509064,18543.281808
509068,12650.17377
