ID,MESI,SESSO,TITOLO,ETA,NCOMP,NSESSOM,NSESSOF,NCOMP5,NCOMP613,NCOMP1417,NCOMP1844,NCOMP4554,NCOMP5564,NCOMP65,SITGEN,MLAV,PREZZIP,PREZZIF,NOCCOTT,NSMART,NOCCNOW,OCC,CONTR,SETT,PROBPERD,PROBLAV,PROBPERDF,MISURE_1,MISURE_2,MISURE_3,MISURE_4,MISURE_5,MISURE_6,MISURE_7,SMARTTEO,SMARTEFF,SMARTMOT,PROBIMPR,DIFFAFF,CONDGEN,VARRED,VARREDQ,VARREDM,VARREDMQ,DEBITI_1,DEBITI_2,DEBITI_3,DIFFDEB_1,DIFFDEB_2,DIFFDEB_3,DIFFDEB_4,DIFFDEB_5,DURMOR,FINEMOR,ATFIN,VARREDF,VARREDFA,VARREDFD,RISPAR,PRECAUZ,VARCONS,VARCONSQ,VARQUAL,VARQUAN,RICPRES,MOTPRES,NATALE,FREQATT_1,FREQATT_2,FREQATT_3,FREQATT_4,FREQATT_5,RIDMOT,ALTRIMOT_1,ALTRIMOT_2,ALTRIMOT_3,CONTAGI_1_1,CONTAGI_2_1,CONTAGI_3_1,CONTAGI_4_1,CONTAGI_5_1,CONTAGI_1_2,CONTAGI_2_2,CONTAGI_3_2,CONTAGI_4_2,CONTAGI_5_2,CONTAGI_1_3,CONTAGI_2_3,CONTAGI_3_3,CONTAGI_4_3,CONTAGI_5_3,CONTAGI_1_4,CONTAGI_2_4,CONTAGI_3_4,CONTAGI_4_4,CONTAGI_5_4,AREA5,ACOM,Y_MONTH,STACIV,DATAINT,PESO,PNASC
123545,4.0,1,4,37,1,1,0,0,0,0,1,0,0,0,4,5,2,2,1,0.0,1,1,1.0,2.0,0.0,,,2,2,2,2,2,2,2,20.0,0.0,1.0,0,,6,1,,2,,2,2,2,,,,,,,,1,2,,,1,50000,2,,,,6,,7,2,1,3,1,1,2.0,0.0,0.0,100.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,1,2,14,1,21NOV2020,25839.9303783382,1
123606,4.0,1,4,61,4,1,3,1,0,0,1,0,2,0,5,4,2,2,1,0.0,1,3,,,,0.0,,2,1,2,2,2,2,2,,,,0,,6,2,,2,,2,2,2,,,,,,,,1,2,,,1,30000,2,,,,6,,1,3,2,3,2,2,2.0,100.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,21,3,24NOV2020,5409.43119708869,1
123680,1.0,2,4,44,4,2,2,0,1,1,1,1,0,0,5,5,4,2,2,1.0,2,2,,98.0,50.0,,50.0,2,2,2,2,2,2,2,20.0,30.0,,0,,3,3,3.0,3,2.0,2,2,2,,,,,,,,1,2,,,2,1500,3,2.0,2.0,1.0,6,,1,3,3,3,3,3,,,,,3,3,2,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,3,3,98,2,20NOV2020,8169.42180797574,1
123747,2.0,1,4,39,4,3,1,1,1,0,2,0,0,0,5,5,2,9,1,0.0,1,1,1.0,9.0,20.0,,,2,2,2,2,2,2,2,1.0,0.0,1.0,0,,4,2,,2,,2,2,2,,,,,,,,2,2,,,1,50000,3,1.0,3.0,2.0,6,,2,2,2,1,2,1,2.0,70.0,10.0,20.0,2,1,1,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,1,3,4,9,3,20NOV2020,11857.4026012692,1
123754,4.0,2,2,80,2,0,2,0,0,0,0,0,1,1,3,5,2,2,2,0.0,1,4,,,,,0.0,2,2,2,2,2,2,2,,,,0,,4,2,,2,,2,2,2,,,,,,,,1,2,,,1,3000,2,,,,6,,1,2,1,1,1,1,2.0,40.0,50.0,10.0,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,3,9,4,22NOV2020,26563.7518016052,1
123757,1.0,1,7,45,1,1,0,0,0,0,0,1,0,0,1,1,3,2,1,1.0,1,1,3.0,9.0,50.0,,,2,2,2,2,2,2,1,80.0,80.0,,0,,5,2,,2,,2,2,1,0.0,0.0,0.0,0.0,1.0,,,2,2,,,2,2000,2,,,,6,,1,3,3,3,3,2,2.0,40.0,20.0,40.0,3,3,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,3,3,2,5,2,7,1,21NOV2020,15590.7787778408,1
123862,2.0,1,4,57,4,1,3,0,1,0,1,1,1,0,2,2,4,4,1,0.0,1,4,,,,,,2,2,2,2,2,2,1,,,,0,,4,2,,2,,1,2,1,0.0,0.0,0.0,0.0,1.0,,,2,1,1.0,,1,2500,2,,,,6,,7,3,2,3,2,4,2.0,30.0,60.0,10.0,4,4,3,3,4,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,17,3,21NOV2020,5622.8886930333,1
123994,2.0,1,3,29,2,2,0,0,0,0,1,1,0,0,2,3,3,2,1,0.0,1,6,,,,,,2,2,1,2,1,2,2,,,,0,2.0,4,2,,2,,2,2,2,,,,,,,,2,2,,,2,1500,2,,,,6,,2,4,2,4,2,4,2.0,20.0,30.0,50.0,3,3,3,2,2,3,2,3,3,4,2,1,2,1,3,2,1,1,1,2,5,3,12,2,20NOV2020,25236.8454869128,1
124015,2.0,1,6,35,2,1,1,0,0,0,2,0,0,0,5,5,1,1,2,2.0,2,1,1.0,2.0,10.0,,50.0,2,2,2,2,2,2,2,80.0,40.0,1.0,90,,4,2,,2,,1,2,1,0.0,0.0,0.0,0.0,1.0,,,1,2,,,2,10000,2,,,,6,,1,3,3,3,3,4,,,,,3,4,4,3,4,3,3,3,4,3,3,4,4,3,3,4,3,3,3,4,1,4,19,3,20NOV2020,5387.16556412964,1
124082,2.0,1,3,48,2,1,1,0,0,0,0,1,1,0,5,5,3,9,1,0.0,1,1,1.0,3.0,2.0,,,2,2,2,2,2,2,2,0.0,0.0,,0,,1,1,,1,,1,1,1,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2,2,,,2,4000,2,,,,4,4.0,4,2,1,2,1,1,2.0,60.0,20.0,20.0,2,2,3,2,3,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,14,2,23NOV2020,13219.7637211046,1
