nquest,nord,Y
39488,1,21534.520138
39488,2,11050.0
39491,1,32087.513426
39491,2,15600.0
39697,1,34154.007838
39697,2,20800.0
50052,1,7923.3609749
50060,1,37086.026851
50085,1,11708.602685
50085,2,12000.0
50135,1,28481.08778
50150,1,1267.0508968
50150,2,19500.0
50150,3,7500.0
50231,1,9117.4847086
50231,2,12000.0
50232,1,12204.455276
51013,1,33829.040277
51013,2,23400.0
51013,3,15000.0
51351,1,32982.196418
51351,3,9100.0
51351,4,9100.0
51363,1,9024.8069125
51444,1,14324.087518
51444,2,11700.0
51444,3,4590.0
51444,4,3500.0
51467,1,16360.0
51467,2,5460.0
51544,1,29704.659753
51544,2,5590.0
51733,1,28355.099749
51733,2,6240.0
51895,1,23149.316859
51895,2,6630.0
52400,1,10296.666141
52478,1,5400.0
52478,2,1800.0
52700,1,15660.293824
52700,2,6000.0
52718,1,11165.133301
52718,2,7000.0
52736,1,5129.0402769
52736,2,8450.0
52736,3,3640.0
53008,1,38951.711071
53008,2,5000.0
53008,3,15000.0
53028,1,7728.6259892
53086,1,24412.562078
53108,1,29274.542874
53108,2,21300.0
53109,1,18766.247686
53202,1,19917.893913
53202,2,11700.0
53234,1,23943.013426
53234,2,14300.0
53234,3,5000.0
53373,1,23060.218796
53373,2,22100.0
53380,1,18300.0
53380,2,15100.0
53520,1,38500.810715
53549,1,30452.844714
53549,2,14300.0
53549,3,18000.0
53552,1,16180.656388
53552,2,10000.0
53564,1,69055.151938
53564,2,6500.0
53564,3,16000.0
53564,4,15000.0
53596,1,21225.808055
53596,3,14000.0
53666,1,4800.0
53666,2,17436.622757
53741,1,21014.808055
53871,1,17088.208563
53997,1,37517.272498
54143,1,12426.161108
54143,2,21840.0
54143,3,9360.0
54279,1,27243.013426
55094,1,24292.848501
55094,2,19100.0
55147,1,27838.20537
55147,2,16250.0
55209,1,15685.161611
55308,1,11116.02188
55425,1,6089.0355923
55430,1,6430.83802
55430,2,25389.0
55636,1,32979.897103
55636,2,26000.0
55636,5,13000.0
55774,1,17627.614146
55774,2,15000.0
55799,1,19624.531835
55799,2,15000.0
56251,1,11530.0
56251,2,11000.0
56465,1,16902.987857
56529,1,43344.107405
56529,3,15600.0
56563,1,15255.917453
56563,2,6500.0
56563,3,5000.0
56572,1,15918.821481
56582,1,34416.809398
56582,2,16250.0
56603,1,21129.03376
56603,2,14000.0
56603,3,15000.0
56624,1,26704.450523
56624,2,15600.0
56658,1,30406.231968
56658,2,23400.0
56677,1,23680.134256
56677,2,14300.0
56721,1,21653.64306
56721,2,15600.0
56721,4,7800.0
56761,1,36626.002137
56761,2,19500.0
56761,3,6500.0
56761,4,20000.0
56762,1,44513.530523
57027,1,18129.040277
57027,2,9700.0
57042,1,14628.669813
57043,1,4303.2322215
57043,2,15600.0
57086,1,35177.957163
57138,1,53790.7833
57138,2,18200.0
57546,1,26619.253052
57546,2,10000.0
57547,1,22127.424166
57609,1,20154.772177
57609,2,11570.0
57609,3,16000.0
57621,1,37269.346985
57621,2,15600.0
57670,1,26737.91711
57670,2,8000.0
57670,3,8000.0
57779,1,18043.013426
57779,2,19500.0
57911,1,51547.208809
57911,2,31800.0
57962,1,21637.163465
57962,2,21910.0
57962,3,13500.0
57962,4,2000.0
58053,1,43506.756724
58053,2,18200.0
58366,1,34612.827786
60078,1,14940.0
91067,1,24389.118796
91071,1,28530.674514
91071,2,22340.0
91074,1,22723.274703
91079,1,17720.492001
91079,2,14962.678429
91081,1,13139.073041
91081,2,14000.0
91095,1,39167.374635
104002,1,27286.026851
111052,1,19767.689644
111052,2,15990.0
111052,3,9450.0
138399,1,39209.0427
145007,1,71072.053703
176061,1,10130.109398
176061,2,6500.0
178001,1,16301.616111
193016,1,12985.887488
213440,1,20800.860269
224048,1,7150.0
230029,1,23067.47586
230029,2,6513.0
230037,1,30732.055642
230037,2,15925.0
230039,1,11015.169091
230039,2,10140.0
230048,1,16710.919559
237003,1,39015.362023
237003,2,16900.0
238055,1,23489.425546
238055,2,6734.0
243067,1,17190.423154
243067,2,32500.0
243067,3,1500.0
244013,1,15362.171508
244013,2,11700.0
244058,1,2425.9766921
244058,2,14000.0
250005,2,14300.0
250010,1,7800.0
250039,1,12768.821481
250056,1,16689.629536
256015,1,2408.9076231
256015,2,18500.0
279054,1,15618.065639
282083,1,9035.0
282089,1,14600.0
282089,2,9867.0
284086,1,16100.0
284086,2,9100.0
294039,1,23741.506713
294039,2,11700.0
310002,1,4992.7215298
310002,2,12805.0
310005,1,30397.882047
321009,1,21517.20537
321009,2,5850.0
330057,1,15108.357691
332080,1,19086.026851
332080,3,12870.0
333081,1,50948.272498
350068,1,18501.720537
355063,1,8639.2540277
365034,1,17642.672401
387029,1,40271.65
389045,2,15000.0
389084,2,19000.0
500001,1,17441.0265
500004,1,5280.0
500004,2,3680.0
500004,3,3680.0
500004,4,3680.0
500026,1,7068.4234416
500026,2,23100.0
500090,1,21733.400999
500176,1,21.542415883
500176,2,13000.0
500388,1,10000.907864
500573,1,21828.581837
500573,2,15990.0
500575,1,12415.907084
500575,2,11310.0
500586,1,31685.349924
500586,2,1976.0
500586,3,16900.0
500620,1,24009.901029
500669,1,73668.562726
500669,2,8000.0
500674,1,21228.356151
500674,2,16900.0
500726,1,33651.917146
500726,2,22000.0
501068,1,17462.266329
501082,1,33745.794836
501569,1,6101.6366054
501569,2,18000.0
501569,3,18000.0
501627,1,10046.882148
501664,1,31412.904028
501694,1,15809.168897
501694,2,18200.0
501816,1,16230.109398
501816,2,11700.0
501816,3,4000.0
501874,1,24039.687771
502060,1,8534.4107405
502157,1,20443.013426
502355,1,8991.5686956
502355,2,18200.0
502355,3,22500.0
502364,1,26758.018796
502366,1,10645.808055
502772,1,30049.904044
503308,1,23235.657407
503308,2,10000.0
503431,1,28772.867128
503560,1,19150.578525
503560,2,15000.0
503561,1,40417.533206
503561,2,9724.0
503593,1,30606.20453
503674,1,87990.441294
503674,2,22000.0
503674,3,10800.0
503788,1,26291.056726
503788,2,8450.0
503804,1,23861.083439
503804,2,24700.0
503850,1,38195.844431
503850,2,40700.0
503931,1,47221.272661
503931,2,26000.0
503950,1,5649.3061524
503950,2,25000.0
503950,3,12200.0
503981,1,10078.013426
503981,2,31200.0
504091,1,16416.155748
504091,2,6500.0
504110,1,21626.822164
504110,2,55000.0
504129,1,7812.3405649
504129,2,13000.0
504157,1,11208.361269
504359,1,9600.0
504359,2,17940.0
504363,1,13008.602685
504363,2,5760.0
504380,1,26406.902035
504395,1,34683.527711
504395,2,32000.0
504453,1,28178.510273
504453,2,19500.0
504453,3,2500.0
504483,1,21451.906018
504483,2,14000.0
504483,3,18000.0
504551,1,19012.904028
504584,1,11124.761071
504584,2,13000.0
504730,1,35417.901754
504730,2,7150.0
504792,1,29249.59398
504792,2,15600.0
504821,1,74298.638971
504821,2,16000.0
504885,1,7850.0
504889,1,54337.233362
504921,1,25823.11453
504921,2,15000.0
504937,1,16300.0
504956,1,31041.960338
505022,1,15341.969421
505167,1,15358.557127
505167,2,10800.0
505228,1,40909.107405
505228,2,11000.0
505228,3,1020.0
505243,1,37568.080554
505243,2,27940.0
505390,1,47261.695311
505390,2,35000.0
505407,1,25690.437592
505424,1,38625.381682
505424,2,14000.0
505433,1,56280.066422
505517,1,15369.940319
505517,2,20800.0
505525,1,38303.120927
505525,2,10400.0
505534,1,29691.975338
505534,2,3610.0
505534,3,3510.0
505540,1,13794.966111
505548,1,20210.231149
505548,2,16510.0
505566,1,1754.3013426
505576,1,12410.883564
505576,2,6240.0
505594,1,11782.013426
505594,2,14800.0
505606,1,46371.716074
505655,1,68526.553263
505672,1,59079.020093
505672,2,14300.0
505672,3,24100.0
505681,1,19200.987705
505768,1,7932.4251854
505768,2,26000.0
505768,3,19800.0
505771,1,56979.834907
505806,1,17311.840293
505806,2,20000.0
505810,1,117801.61611
505810,2,18000.0
505810,3,22000.0
505818,1,87949.509647
505818,2,14000.0
505818,3,22000.0
505820,1,12377.528629
505820,2,14950.0
505839,1,25753.285699
505839,2,15595.875666
505881,1,28960.420181
505881,3,17000.0
506025,1,28570.398222
506025,2,18850.0
506100,1,9402.0537026
506107,1,19002.580806
506107,2,23050.0
506112,1,21583.888609
506112,2,6240.0
506152,1,14474.466413
506152,2,16080.0
506153,1,21673.075492
506153,2,13000.0
506195,1,21643.013426
506374,1,13868.821481
506385,1,43444.674439
506385,3,18000.0
506396,1,19948.128194
506402,1,15463.067128
506410,1,27386.026851
506410,2,15000.0
506413,1,34595.252222
506413,2,15000.0
506418,1,11321.026851
506418,2,6877.0
506446,1,25219.116518
506446,2,18200.0
506458,1,30666.857854
506458,2,19000.0
506492,1,30279.191294
506492,2,10000.0
506565,1,32621.531571
506565,2,31200.0
506613,1,10264.410741
506613,2,6500.0
506628,1,49603.232222
506628,2,22000.0
506628,6,7800.0
506736,1,12546.245647
506736,2,23010.0
506738,1,8412.9040277
506738,2,28600.0
506758,1,27436.026851
506767,1,50447.389656
506798,1,14300.0
506798,2,9500.0
506799,1,45863.893581
506799,2,19500.0
507037,1,35831.134002
507037,2,10000.0
507037,3,6000.0
507081,1,34596.50606
507081,2,10000.0
507081,3,7000.0
507081,4,10500.0
507147,1,31630.057046
507147,2,18000.0
507147,3,13000.0
507147,4,9100.0
507157,1,6500.0
507182,1,26694.848332
507182,2,1680.0
507182,3,14000.0
507185,1,24793.812224
507185,2,10500.0
507185,3,15500.0
507185,4,12000.0
507190,1,25773.125421
507282,1,19911.032889
507282,2,24000.0
507303,1,22894.314768
507303,2,12571.0
507316,1,27720.834907
507316,2,8060.0
507319,1,18535.808055
507322,1,29737.642962
507322,2,21000.0
507329,1,24557.119303
507329,2,19000.0
507336,1,20226.187959
507336,2,26000.0
507336,3,16800.0
507336,4,13000.0
507359,1,72802.250929
507359,2,15600.0
507360,1,35859.321163
507360,2,13000.0
507419,1,44809.50472
507419,2,11500.0
507426,1,17557.20537
507426,2,5850.0
507444,1,20454.196916
507509,1,13241.238683
507541,1,33718.717055
507541,2,15000.0
507542,1,10344.20537
507542,2,10400.0
507544,1,31004.260852
507544,2,23000.0
507544,4,8400.0
507547,1,16443.013426
507552,1,12231.529448
507552,2,6000.0
507557,1,20460.218796
507573,1,34175.712605
507573,2,46800.0
507638,1,21840.904866
507640,1,14665.031582
507640,2,15600.0
507644,1,4831.4126221
507644,2,14300.0
507644,3,13380.0
507656,1,11894.808055
507728,1,5718.2993498
507728,2,21450.0
507823,1,36491.124059
507863,1,25894.109398
507905,1,4972.0537026
507905,2,22100.0
507908,1,4687.7411355
507908,2,26000.0
507913,1,18188.0
507913,2,3700.0
507913,3,5000.0
507924,1,4805.3417199
507924,2,11700.0
508305,1,9036.2067768
508861,1,27893.753703
508861,2,15145.0
508861,3,17100.0
509054,1,10558.837709
509054,2,6110.0
509057,1,12625.808055
509057,3,11000.0
509064,1,16813.351384
509068,1,11478.679709
509071,1,25503.680249
509074,1,21860.412543
509074,2,13000.0
509074,3,2000.0
509076,1,20803.488118
509123,1,13250.0
509366,1,23658.080554
509366,2,12350.0
509512,1,23437.602685
509550,1,28000.0
509550,3,4440.0
509601,1,28800.0
509689,1,20804.805128
509717,1,13560.0
509717,2,7200.0
509806,1,6200.0
509806,2,7000.0
509869,1,33454.598497
509889,1,20535.592376
510071,1,31725.671213
510071,2,16900.0
510109,1,12602.580806
510181,1,11413.62613
510220,1,13244.793514
510239,1,27315.615921
510239,2,10000.0
510244,1,25043.828308
510244,2,15600.0
510245,1,25180.16724
510245,2,16900.0
510329,1,10000.0
510345,1,5457.6379904
510345,2,22000.0
510345,4,4000.0
510374,1,16640.0
510374,2,16000.0
510432,1,3286.0268513
510432,2,13000.0
510433,1,13554.873154
510433,2,14950.0
510433,3,15000.0
510433,4,7000.0
510439,1,34999.133377
510439,2,5200.0
510439,3,400000.0
510515,1,10317.20537
510634,1,26718.088934
510634,2,7800.0
510984,1,25200.0
511059,1,13406.026851
511074,1,19934.240166
511098,1,22622.053703
511103,1,9116.0268513
511116,1,14178.064824
511116,2,3000.0
511116,3,10000.0
511130,1,11858.821481
511130,2,5200.0
511136,1,11200.0
511147,1,28100.120827
511160,1,33433.096669
511160,2,7410.0
511260,1,28358.080554
511307,1,38049.477869
511307,2,16000.0
511315,1,19008.602685
511342,1,16668.821481
511352,1,22954.848332
511352,2,12000.0
511354,1,8484.4107405
511355,1,6975.8080554
511365,1,20877.424166
511367,1,20740.875184
511416,1,7800.0
511419,1,19200.0
511424,1,4221.5067128
511424,2,16250.0
511431,1,16325.808055
511435,1,7825.8080554
511435,2,5200.0
511438,1,10570.0
511443,1,25629.040277
511451,1,5589.2590728
511451,2,13650.0
511474,1,30232.272498
511489,1,215.06712822
511489,2,13000.0
511489,3,9750.0
511489,4,13000.0
511491,1,12600.0
511491,2,4550.0
511494,1,13961.834907
511495,1,17929.040277
511500,1,22472.053703
511501,1,20437.642962
511519,1,6439.5009377
511525,1,3000.0
511525,3,10140.0
511616,1,27110.320611
511629,1,6043.0134256
511629,2,19500.0
511757,1,22227.913988
512211,1,9580.0
512368,1,15227.908961
512368,3,5200.0
512372,1,1826.544488
512372,2,8190.0
512406,1,22404.614883
512406,2,14000.0
512417,1,18624.952645
512420,1,80181.627786
512452,1,17720.517635
512452,3,11111.111111
512457,1,21725.174096
512457,2,2210.0
512457,3,18200.0
512457,4,8000.0
512457,5,9100.0
512517,1,20940.479712
512517,2,17000.0
512574,1,14090.0
512574,2,8060.0
512704,1,29359.451017
512768,1,12626.153851
512784,1,27722.766729
512807,1,6914.027796
512843,1,4800.0
512843,2,22000.0
512845,1,30663.308063
512845,2,7631.0
512845,3,10608.0
512846,1,15389.117541
512846,2,8411.0
512849,1,3600.0
512849,2,19500.0
512858,1,1200.0
512858,2,10400.0
512884,1,2.5808055386
512884,2,10000.0
512887,1,20608.602685
512892,1,10217.20537
512897,1,13958.602685
512897,2,2500.0
512921,1,41761.144124
512921,2,20280.0
512941,1,21237.378569
